filename;TotalPeopleInBurst;MaximumChangeBurstLate;NumberOfChanges;MaxPeopleInBurst;TotalBurstSizeLate;NumberOfChangeBurstsLate;NumberOfChangesLate;NumberOfChangesEarly;MaxChurnInBurst;MaximumChangeBurstEarly;NumberOfChangeBurstsEarly;TimeFirstBurst;TotalChurnInBurst;ChurnTotal;MaximumChangeBurst;NumberOfConsecutiveChangesEarly;NumberOfConsecutiveChangesLate;TotalBurstSizeEarly;TotalBurstSize;TimeMaxBurst;NumberOfConsecutiveChanges;TimeLastBurst;NumberOfChangeBursts;PeopleTotal;bugs
/org.eclipse.pde.ui/src/org/eclipse/pde/internal/ui/wizards/templates/IntroNewWizard.java;1;0;2;1;0;0;0;2;2;0;1;41;2;2;2;1;0;2;2;41;1;41;1;1;0
/org.eclipse.update.ui/src/org/eclipse/update/internal/ui/wizards/ReplaceFeatureVersionWizardPage.java;1;0;3;1;0;0;0;3;12;0;1;36;12;18;2;1;0;2;2;36;1;36;1;2;0
/org.eclipse.debug.ui/ui/org/eclipse/debug/internal/ui/PixelConverter.java;2;0;2;2;0;0;0;2;22;0;1;35;22;22;2;1;0;2;2;35;1;35;1;2;0
/org.eclipse.osgi/osgi/src/org/osgi/framework/PackagePermission.java;2;0;4;2;0;0;1;3;1148;0;1;25;1148;1177;3;2;0;3;3;25;2;25;1;2;1
/org.eclipse.pde.ui/src/org/eclipse/pde/internal/ui/editor/text/ReconcilingStrategy.java;2;0;2;2;0;0;0;2;12;0;1;31;12;12;2;1;0;2;2;31;1;31;1;2;0
/org.eclipse.pde.ui/src/org/eclipse/pde/internal/ui/search/dependencies/DependencyExtentQuery.java;2;0;5;2;0;0;0;5;33;3;2;19;36;36;3;3;0;5;5;35;3;35;2;2;0
/org.eclipse.jdt.ui/ui/org/eclipse/jdt/internal/ui/search/IOccurrencesFinder.java;3;0;4;2;0;0;0;4;27;2;2;15;52;52;2;2;0;4;4;15;2;32;2;3;0
/org.eclipse.pde.ui/src/org/eclipse/pde/internal/ui/PDEPlugin.java;2;0;6;2;0;0;0;6;198;4;2;14;270;270;4;4;0;6;6;31;4;31;2;2;0
/org.eclipse.ui.workbench/Eclipse UI/org/eclipse/ui/internal/ObjectContributorManager.java;2;0;10;2;0;0;0;10;581;0;1;21;581;1277;9;8;0;9;9;21;8;21;1;2;0
/org.eclipse.ant.ui/Ant Tools Support/org/eclipse/ant/internal/ui/preferences/AntClasspathBlock.java;2;0;6;2;0;0;1;5;151;0;1;28;151;157;5;3;1;5;5;28;4;28;1;2;0
