"filename";"TotalPeopleInBurst";"MaximumCodeBurstLate";"NumberOfChanges";"MaxPeopleInBurst";"TotalBurstSizeLate";"NumberCodeBurstsLate";"NumberOfChangesLate";"NumberOfChangesEarly";"MaxChurnInBurst";"MaximumCodeBurstEarly";"NumberCodeBurstsEarly";"TimeFirstBurst";"TotalChurnInBurst";"ChurnTotal";"MaximumCodeBurst";"NumberOfConsecutiveChangesEarly";"NumberConsecutiveChangesLate";"TotalBurstSizeEarly";"TotalBurstSize";"TimeMaxBurst";"NumberConsecutiveChanges";"TimeLastBurst";"NumberCodeBursts";"PeopleTotal";"X"
"1";"/org.eclipse.jdt.debug/eval/org/eclipse/jdt/internal/debug/eval/ast/engine/InstructionSequence.java";1;0;2;1;0;0;0;2;0;1;2;3329;0;0;1;0;0;2;2;3329;0;3421;2;1;NA
"2";"/org.eclipse.debug.ui/ui/org/eclipse/debug/internal/ui/actions/CopyVariablesToClipboardActionDelegate.java";1;0;9;1;0;0;0;9;17;2;8;2382;45;45;2;1;0;9;9;3679;1;3730;8;1;NA
"3";"/org.eclipse.debug.ui/ui/org/eclipse/debug/internal/ui/PixelConverter.java";2;0;2;1;1;1;1;1;15;0;1;3266;15;15;1;0;0;1;2;3266;0;4567;2;2;NA
"4";"/org.eclipse.ui/Eclipse UI Standard Components/org/eclipse/ui/wizards/datatransfer/IImportStructureProvider.java";2;0;2;1;0;0;0;2;5;1;2;257;5;5;1;0;0;2;2;257;0;457;2;2;NA
"5";"/org.eclipse.jdt.debug.ui/ui/org/eclipse/jdt/internal/debug/ui/actions/ExceptionBreakpointFilterEditor.java";4;1;15;1;2;2;2;13;43;2;10;3030;141;141;2;3;0;13;15;3149;3;4410;12;4;NA
"6";"/org.eclipse.pde.ui/src/org/eclipse/pde/internal/base/model/IModelChangedEvent.java";2;0;3;1;0;0;0;3;13;1;3;1434;13;13;1;0;0;3;3;1434;0;3039;3;2;NA
"7";"/org.eclipse.scripting/src/org/eclipse/scripting/internal/uirenderer/XGRXmlElement.java";1;0;1;1;0;0;0;1;0;0;1;1424;0;0;1;0;0;1;1;1424;0;1424;1;1;NA
"8";"/org.eclipse.jdt.debug.tests/testprograms/ThrowsNPE.java";3;1;3;1;2;2;2;1;11;0;1;3719;14;14;1;0;0;1;3;3719;0;4571;3;3;NA
"9";"/org.eclipse.swt/Eclipse SWT Printing/gtk/org/eclipse/swt/printing/Printer.java";3;1;3;1;2;2;2;1;6;0;1;2107;10;10;1;0;0;1;3;2107;0;4701;3;3;NA
"10";"/org.eclipse.jdt.ui.tests.refactoring/resources/RenameVirtualMethodInClass/testFail22/in/A.java";1;0;1;1;0;0;0;1;0;0;1;49;0;0;1;0;0;1;1;49;0;49;1;1;NA
"11";"/org.eclipse.jdt.ui.tests.refactoring/resources/RenameType/test56/out/B.java";1;0;1;1;0;0;0;1;0;0;1;1547;0;0;1;0;0;1;1;1547;0;1547;1;1;NA
"12";"/org.eclipse.team.ui/src/org/eclipse/team/internal/ui/target/GetAction.java";4;1;9;1;9;9;9;0;178;0;0;4155;224;224;1;0;0;0;9;4155;0;4636;9;4;NA
"13";"/org.eclipse.pde.ui/Eclipse PDE UI/org/eclipse/pde/internal/OverlayIcon.java";2;0;5;2;0;0;0;5;12;3;3;267;12;12;3;2;0;5;5;324;2;1434;3;2;NA
"14";"/org.eclipse.jdt.ui.tests/ui/com/ibm/jdt/internal/ui/dialogs/tests/MultiElementListSelectorTest.java";1;0;3;1;0;0;0;3;4;1;3;255;4;4;1;0;0;3;3;255;0;522;3;1;NA
"15";"/org.eclipse.jdt.ui.tests.refactoring/resources/ExtractMethodWorkSpace/ExtractMethodTests/validSelection/A_test272.java";2;1;3;1;2;2;2;1;0;0;1;49;0;0;1;0;0;1;3;49;0;4419;3;2;NA
"16";"/org.eclipse.pde.ui/src/org/eclipse/pde/internal/ui/PDEPlugin.java";1;1;10;1;4;4;4;6;176;2;5;3579;312;312;2;1;0;6;10;3579;1;4588;9;1;NA
"17";"/org.eclipse.jdt.ui.tests.refactoring/resources/MoveMembers/test13/out/A.java";1;0;1;1;0;0;0;1;0;0;1;2738;0;0;1;0;0;1;1;2738;0;2738;1;1;NA
"18";"/org.eclipse.swt/Eclipse SWT/gtk1x/org/eclipse/swt/widgets/Caret.java";4;1;4;1;2;2;2;2;30;1;2;2107;37;37;1;0;0;2;4;2107;0;4701;4;4;NA
"19";"/org.eclipse.swt.tests/JUnit Tests/org/eclipse/swt/tests/junit/Test_org_eclipse_swt_dnd_TransferData.java";2;0;2;1;1;1;1;1;6;0;1;1792;6;6;1;0;0;1;2;1792;0;4706;2;2;NA
"20";"/org.eclipse.jdt.ui.tests.refactoring/resources/RenameType/testFail70/in/A.java";1;0;1;1;0;0;0;1;0;0;1;49;0;0;1;0;0;1;1;49;0;49;1;1;NA
"21";"/org.eclipse.jdt.debug.tests/tests/org/eclipse/jdt/debug/tests/core/DeferredBreakpointTests.java";3;1;5;1;4;4;4;1;42;0;1;3701;95;95;1;0;0;1;5;3701;0;4571;5;3;NA
"22";"/org.eclipse.update.ui/src/org/eclipse/update/internal/ui/model/UpdateSearchSite.java";1;0;3;1;0;0;0;3;6;1;3;2797;6;6;1;0;0;3;3;2797;0;3537;3;1;NA
"23";"/org.eclipse.jdt.core/search/org/eclipse/jdt/internal/core/index/impl/JarFileDocument.java";2;1;10;1;2;2;2;8;74;3;6;455;182;182;3;2;0;8;10;1045;2;4063;8;2;NA
"24";"/org.eclipse.search/search/org/eclipse/search/internal/ui/text/ResourcePathSorter.java";1;0;4;1;0;0;0;4;20;1;4;1117;37;37;1;0;0;4;4;1117;0;1272;4;1;NA
