filename;TotalPeopleInBurst;MaximumChangeBurstLate;NumberOfChanges;MaxPeopleInBurst;TotalBurstSizeLate;NumberOfChangeBurstsLate;NumberOfChangesLate;NumberOfChangesEarly;MaxChurnInBurst;MaximumChangeBurstEarly;NumberOfChangeBurstsEarly;TimeFirstBurst;TotalChurnInBurst;ChurnTotal;MaximumChangeBurst;NumberOfConsecutiveChangesEarly;NumberOfConsecutiveChangesLate;TotalBurstSizeEarly;TotalBurstSize;TimeMaxBurst;NumberOfConsecutiveChanges;TimeLastBurst;NumberOfChangeBursts;PeopleTotal;
/org.eclipse.pde.ui/src/org/eclipse/pde/internal/ui/wizards/templates/IntroNewWizard.java;0;0;2;0;0;0;0;2;0;0;0;-1;0;2;0;0;0;0;0;-1;0;-1;0;1;
/org.eclipse.ui.workbench.texteditor/src/org/eclipse/ui/texteditor/templates/StatusDialog.java;0;0;2;0;0;0;0;2;0;0;0;-1;0;8;0;0;0;0;0;-1;0;-1;0;1;
/org.eclipse.update.ui/src/org/eclipse/update/internal/ui/wizards/ReplaceFeatureVersionWizardPage.java;0;0;3;0;0;0;0;3;0;0;0;-1;0;18;0;0;0;0;0;-1;0;-1;0;2;
/org.eclipse.debug.ui/ui/org/eclipse/debug/internal/ui/PixelConverter.java;0;0;2;0;0;0;0;2;0;0;0;-1;0;22;0;0;0;0;0;-1;0;-1;0;2;
/org.eclipse.osgi/osgi/src/org/osgi/framework/PackagePermission.java;0;0;4;0;0;0;1;3;0;0;0;-1;0;1177;0;0;0;0;0;-1;0;-1;0;2;
/org.eclipse.jdt.core.tests.model/workspace/Converter15/src/test0044/X.java;0;0;1;0;0;0;0;1;0;0;0;-1;0;0;0;0;0;0;0;-1;0;-1;0;1;
/org.eclipse.pde.ui/src/org/eclipse/pde/internal/ui/editor/text/ReconcilingStrategy.java;0;0;2;0;0;0;0;2;0;0;0;-1;0;12;0;0;0;0;0;-1;0;-1;0;2;
/org.eclipse.pde.ui/src/org/eclipse/pde/internal/ui/search/dependencies/DependencyExtentQuery.java;0;0;5;0;0;0;0;5;0;0;0;-1;0;36;0;0;0;0;0;-1;0;-1;0;2;
/org.eclipse.jdt.ui/ui/org/eclipse/jdt/internal/ui/search/IOccurrencesFinder.java;0;0;5;0;0;0;0;5;0;0;0;-1;0;52;0;0;0;0;0;-1;0;-1;0;3;
/org.eclipse.jdt.debug.tests/testprograms/ThrowsNPE.java;0;0;1;0;0;0;0;1;0;0;0;-1;0;8;0;0;0;0;0;-1;0;-1;0;1;
/org.eclipse.ui.forms.examples/src/org/eclipse/ui/forms/examples/internal/rcp/TypeTwoDetailsPage.java;0;0;1;0;0;0;1;0;0;0;0;-1;0;3;0;0;0;0;0;-1;0;-1;0;1;
/org.eclipse.jdt.core.tests.model/workspace/JavaSearch15/src/g2/f/s/def/R1.java;0;0;1;0;0;0;0;1;0;0;0;-1;0;0;0;0;0;0;0;-1;0;-1;0;1;
/org.eclipse.jdt.ui.tests.refactoring/resources/RenameType/test56/out/B.java;0;0;2;0;0;0;0;2;0;0;0;-1;0;20;0;1;0;0;0;-1;1;-1;0;2;
/org.eclipse.jdt.core.tests.model/workspace/Compiler/src/org/eclipse/jdt/internal/compiler/lookup/VariableBinding.java;0;0;1;0;0;0;0;1;0;0;0;-1;0;0;0;0;0;0;0;-1;0;-1;0;1;
/org.eclipse.jdt.ui.tests.refactoring/resources/ExtractMethodWorkSpace/ExtractMethodTests/validSelection/A_test272.java;0;0;2;0;0;0;0;2;0;0;0;-1;0;20;0;1;0;0;0;-1;1;-1;0;2;
