"filename";"TotalPeopleInBurst";"MaximumCodeBurstLate";"NumberOfChanges";"MaxPeopleInBurst";"TotalBurstSizeLate";"NumberCodeBurstsLate";"NumberOfChangesLate";"NumberOfChangesEarly";"MaxChurnInBurst";"MaximumCodeBurstEarly";"NumberCodeBurstsEarly";"TimeFirstBurst";"TotalChurnInBurst";"ChurnTotal";"MaximumCodeBurst";"NumberOfConsecutiveChangesEarly";"NumberConsecutiveChangesLate";"TotalBurstSizeEarly";"TotalBurstSize";"TimeMaxBurst";"NumberConsecutiveChanges";"TimeLastBurst";"NumberCodeBursts";"PeopleTotal";"X"
"1";"/org.eclipse.help/src/org/eclipse/help/internal/search/QueryWordsExactPhrase.java";2;1;3;1;3;3;3;0;16;0;0;2746;18;18;1;0;0;0;3;2746;0;3145;3;2;NA
"2";"/org.eclipse.debug.ui/ui/org/eclipse/debug/internal/ui/actions/CopyVariablesToClipboardActionDelegate.java";2;0;2;1;1;1;1;1;68;0;1;299;84;84;1;0;0;1;2;299;0;3145;2;2;NA
"3";"/org.eclipse.jdt.ui.tests.refactoring/resources/ExtractInterface/testInterface3/out/A.java";1;0;1;1;0;0;0;1;0;0;1;1641;0;0;1;0;0;1;1;1641;0;1641;1;1;NA
"4";"/org.eclipse.team.cvs.ui/src/org/eclipse/team/internal/ccvs/ui/repo/NewCVSAnonEclipseConnection.java";2;0;3;1;1;1;1;2;40;1;2;1319;56;56;1;0;0;2;3;1319;0;3145;3;2;NA
"5";"/org.eclipse.debug.ui/ui/org/eclipse/debug/internal/ui/PixelConverter.java";3;0;3;1;1;1;1;2;16;1;2;299;28;28;1;0;0;2;3;299;0;3145;3;3;NA
"6";"/org.eclipse.ui/Eclipse UI Standard Components/org/eclipse/ui/wizards/datatransfer/IImportStructureProvider.java";1;0;1;1;0;0;0;1;0;0;1;827;0;0;1;0;0;1;1;827;0;827;1;1;NA
"7";"/org.eclipse.jdt.debug.ui/ui/org/eclipse/jdt/internal/debug/ui/actions/ExceptionBreakpointFilterEditor.java";5;1;12;2;2;2;2;10;112;2;9;89;271;271;2;1;0;10;12;299;1;3145;11;5;NA
"8";"/org.eclipse.jdt.debug.tests/testprograms/ThrowsNPE.java";1;0;1;1;1;1;1;0;20;0;0;3151;20;20;1;0;0;0;1;3151;0;3151;1;1;NA
"9";"/org.eclipse.jdt.core.tests.compiler/src/org/eclipse/jdt/core/tests/compiler/parser/SourceElementParserTest.java";3;1;9;1;2;2;2;7;52;1;7;530;108;108;1;0;0;7;9;530;0;3151;9;3;NA
"10";"/org.eclipse.swt/Eclipse SWT Printing/gtk/org/eclipse/swt/printing/Printer.java";4;2;5;1;4;3;4;1;178;0;1;1280;218;218;2;0;1;1;5;3083;1;3146;4;4;NA
"11";"/org.eclipse.ui.workbench/Eclipse UI/org/eclipse/ui/dialogs/ISelectionStatusValidator.java";3;1;3;1;2;2;2;1;16;0;1;826;16;16;1;0;0;1;3;826;0;3146;3;3;NA
"12";"/org.eclipse.team.ui/src/org/eclipse/team/internal/ui/target/GetAction.java";2;0;3;1;1;1;1;2;16;1;2;554;45;45;1;0;0;2;3;554;0;3145;3;2;NA
"13";"/org.eclipse.pde.ui/src/org/eclipse/pde/internal/ui/PDEPlugin.java";3;1;7;1;3;3;3;4;18;1;4;1282;66;66;1;0;0;4;7;1282;0;3145;7;3;NA
"14";"/org.eclipse.jdt.ui.tests.refactoring/resources/ExtractInterface/test74/in/A.java";1;0;1;1;0;0;0;1;0;0;1;809;0;0;1;0;0;1;1;809;0;809;1;1;NA
"15";"/org.eclipse.swt/Eclipse SWT/gtk1x/org/eclipse/swt/widgets/Caret.java";2;2;3;1;3;2;3;0;16;0;0;3083;16;16;2;0;1;0;3;3083;1;3146;2;2;NA
"16";"/org.eclipse.swt.tests/JUnit Tests/org/eclipse/swt/tests/junit/Test_org_eclipse_swt_dnd_TransferData.java";3;1;2;2;2;2;2;0;16;0;0;3084;17;17;1;0;0;0;2;3084;0;3145;2;3;NA
"17";"/org.eclipse.ui.workbench/Eclipse UI/org/eclipse/ui/internal/ObjectContributorManager.java";4;1;4;1;2;2;2;2;568;1;2;826;588;588;1;0;0;2;4;826;0;3146;4;4;NA
"18";"/org.eclipse.jdt.debug.tests/tests/org/eclipse/jdt/debug/tests/core/DeferredBreakpointTests.java";1;0;2;1;1;1;1;1;21;0;1;1118;23;23;1;0;0;1;2;1118;0;3151;2;1;NA
"19";"/org.eclipse.jdt.core/search/org/eclipse/jdt/internal/core/index/impl/JarFileDocument.java";3;0;4;1;1;1;1;3;138;1;3;9;161;161;1;0;0;3;4;9;0;3151;4;3;NA
"20";"/org.eclipse.search/search/org/eclipse/search/internal/ui/text/ResourcePathSorter.java";2;0;2;1;1;1;1;1;118;0;1;36;132;132;1;0;0;1;2;36;0;3145;2;2;NA
"21";"/org.eclipse.jdt.core.tests.model/workspace/Converter/test0268/Test.java";1;0;1;1;0;0;0;1;0;0;1;86;0;0;1;0;0;1;1;86;0;86;1;1;NA
"22";"/org.eclipse.jdt.ui.tests.refactoring/resources/SefWorkSpace/SefTests/base_in/TestThisExpressionInner.java";1;0;1;1;0;0;0;1;0;0;1;383;0;0;1;0;0;1;1;383;0;383;1;1;NA
"23";"/org.eclipse.team.ftp/src/org/eclipse/team/internal/ftp/Policy.java";2;0;3;1;1;1;1;2;12;1;2;52;22;22;1;0;0;2;3;52;0;3145;3;2;NA
