"filename";"TotalPeopleInBurst";"MaximumCodeBurstLate";"NumberOfChanges";"MaxPeopleInBurst";"TotalBurstSizeLate";"NumberCodeBurstsLate";"NumberOfChangesLate";"NumberOfChangesEarly";"MaxChurnInBurst";"MaximumCodeBurstEarly";"NumberCodeBurstsEarly";"TimeFirstBurst";"TotalChurnInBurst";"ChurnTotal";"MaximumCodeBurst";"NumberOfConsecutiveChangesEarly";"NumberConsecutiveChangesLate";"TotalBurstSizeEarly";"TotalBurstSize";"TimeMaxBurst";"NumberConsecutiveChanges";"TimeLastBurst";"NumberCodeBursts";"PeopleTotal";"bugs"
"1";"org.eclipse.ui.views.bookmarkexplorer";2;0;6;2;0;0;0;6;3846;3;3;2;4486;567;3;3;0;6;6;35;3;35;3;3;0
"2";"org.eclipse.update.internal.operations";1;0;4;1;0;0;0;4;110;2;3;15;215;14;2;1;0;4;4;22;1;36;3;1;0
"3";"org.eclipse.pde.internal.core.schema";1;0;7;1;0;0;0;7;2419;3;4;7;2613;6;3;3;0;7;7;20;3;35;4;1;0
"4";"org.eclipse.jdt.internal.compiler.classfmt";0;0;10;0;0;0;0;10;524;3;6;1;1287;0;3;4;0;10;10;12;4;35;6;0;1
"5";"org.eclipse.jdt.internal.core.hierarchy";0;0;11;0;0;0;0;11;231;4;6;1;600;0;4;5;0;11;11;8;5;41;6;0;3
"6";"org.eclipse.team.internal.ui.wizards";0;0;5;0;0;0;0;5;93;2;4;8;222;0;2;1;0;5;5;8;1;41;4;0;0
"7";"org.eclipse.ui.externaltools.internal.program.launchConfigurations";0;0;3;0;0;0;0;3;86;1;3;32;131;0;1;0;0;3;3;32;0;41;3;0;0
"8";"org.eclipse.jdi";0;0;2;0;0;0;0;2;27;1;2;23;33;0;1;0;0;2;2;23;0;35;2;0;0
"9";"org.eclipse.debug.ui";2;0;9;2;0;0;0;9;301;5;5;1;548;54;5;4;0;9;9;4;4;35;5;2;1
"10";"org.eclipse.core.internal.localstore";2;0;8;2;0;0;0;8;1100;5;4;7;1212;18;5;4;0;8;8;28;4;28;4;2;4
"11";"org.eclipse.ui.internal.intro.impl.parts";0;0;6;0;3;1;3;3;41;2;2;36;84;0;3;1;2;3;6;44;3;44;3;0;0
"12";"org.eclipse.pde.internal.build.builder";0;0;6;0;0;0;0;6;270;3;4;1;349;0;3;2;0;6;6;32;2;32;4;0;0
