filename;TotalPeopleInBurst;MaximumChangeBurstLate;NumberOfChanges;MaxPeopleInBurst;TotalBurstSizeLate;NumberOfChangeBurstsLate;NumberOfChangesLate;NumberOfChangesEarly;MaxChurnInBurst;MaximumChangeBurstEarly;NumberOfChangeBurstsEarly;TimeFirstBurst;TotalChurnInBurst;ChurnTotal;MaximumChangeBurst;NumberOfConsecutiveChangesEarly;NumberOfConsecutiveChangesLate;TotalBurstSizeEarly;TotalBurstSize;TimeMaxBurst;NumberOfConsecutiveChanges;TimeLastBurst;NumberOfChangeBursts;PeopleTotal;bugs
org.eclipse.ui.views.bookmarkexplorer;2;0;6;2;0;0;0;6;3846;3;3;2;4486;567;3;3;0;6;6;35;3;35;3;3;0
org.eclipse.update.internal.operations;1;0;4;1;0;0;0;4;110;2;3;15;215;14;2;1;0;4;4;22;1;36;3;1;0
org.eclipse.pde.internal.core.schema;1;0;7;1;0;0;0;7;2419;3;4;7;2613;6;3;3;0;7;7;20;3;35;4;1;0
org.eclipse.jdt.internal.compiler.classfmt;0;0;10;0;0;0;0;10;524;4;5;1;1287;0;4;5;0;10;10;12;5;35;5;0;1
org.eclipse.jdt.internal.core.hierarchy;0;0;11;0;0;0;0;11;231;5;5;1;600;0;5;6;0;11;11;8;6;41;5;0;3
org.eclipse.team.internal.ui.wizards;0;0;5;0;0;0;0;5;93;2;4;8;222;0;2;1;0;5;5;8;1;41;4;0;0
org.eclipse.ui.externaltools.internal.program.launchConfigurations;0;0;3;0;0;0;0;3;86;2;2;32;131;0;2;1;0;3;3;32;1;41;2;0;0
org.eclipse.jdi;0;0;2;0;0;0;0;2;27;1;2;23;33;0;1;0;0;2;2;23;0;35;2;0;0
org.eclipse.debug.ui;2;0;9;2;0;0;0;9;327;6;4;1;548;54;6;5;0;9;9;1;5;35;4;2;1
org.eclipse.core.internal.localstore;2;0;8;2;0;0;0;8;1100;5;4;7;1212;18;5;4;0;8;8;28;4;28;4;2;4
org.eclipse.ui.internal.intro.impl.parts;0;0;6;0;0;0;3;3;84;0;1;36;84;0;6;2;3;6;6;36;5;36;1;0;0
org.eclipse.pde.internal.build.builder;0;0;6;0;0;0;0;6;278;4;3;1;349;0;4;3;0;6;6;29;3;29;3;0;0
org.eclipse.osgi.framework.eventmgr;0;0;4;0;2;1;2;2;206;0;1;34;230;0;2;1;1;2;4;34;2;47;2;0;0
org.eclipse.jdt.internal.junit.wizards;0;0;4;0;0;0;0;4;47;1;4;6;97;0;1;0;0;4;4;6;0;42;4;1;2
org.eclipse.core.resources.team;0;0;3;0;1;1;1;2;35;1;2;15;56;0;1;0;0;2;3;15;0;50;3;0;0
org.eclipse.search2.internal.ui.text;0;0;8;0;1;1;1;7;180;4;3;17;281;0;4;4;0;7;8;17;4;51;4;0;2
org.eclipse.pde.internal.core.iproduct;2;0;3;1;0;0;0;3;110;2;2;29;126;46;2;1;0;3;3;29;1;35;2;2;0
org.eclipse.swt.internal.gdip;2;0;3;2;0;0;0;3;41;0;1;33;41;10;3;2;0;3;3;33;2;33;1;2;3
org.eclipse.update.core;2;0;5;1;0;0;0;5;302;1;5;9;377;24;1;0;0;5;5;9;0;36;5;2;0
org.eclipse.ant.internal.ui.antsupport.inputhandler;1;0;5;1;1;1;1;4;22;2;3;19;44;21;2;1;0;4;5;19;1;47;4;1;2
org.eclipse.ui.commands;0;0;9;0;0;0;0;9;681;5;4;2;1382;0;5;5;0;9;9;32;5;32;4;1;0
org.eclipse.debug.internal.core.sourcelookup.containers;2;0;4;2;0;0;0;4;163;0;1;35;163;14;4;3;0;4;4;35;3;35;1;2;0
org.eclipse.ui.externaltools.internal.launchConfigurations;0;0;6;0;0;0;0;6;198;2;4;18;349;0;2;2;0;6;6;18;2;40;4;0;2
org.eclipse.core.internal.plugins;0;0;4;0;0;0;0;4;104;3;2;21;182;0;3;2;0;4;4;21;2;34;2;0;0
org.eclipse.core.internal.indexing;2;0;4;2;0;0;0;4;759;3;2;32;1285;215;3;2;0;4;4;32;2;38;2;2;0
org.eclipse.ui.internal.part;3;0;5;3;0;0;0;5;771;0;1;33;771;219;5;4;0;5;5;33;4;33;1;3;0
org.eclipse.compare.internal;1;0;6;1;1;1;1;5;448;2;4;8;876;16;2;1;0;5;6;8;1;50;5;1;2
org.eclipse.compare.structuremergeviewer;1;0;3;1;0;0;0;3;94;1;3;8;144;16;1;0;0;3;3;8;0;35;3;1;0
