filename;TotalPeopleInBurst;MaximumChangeBurstLate;NumberOfChanges;MaxPeopleInBurst;TotalBurstSizeLate;NumberOfChangeBurstsLate;NumberOfChangesLate;NumberOfChangesEarly;MaxChurnInBurst;MaximumChangeBurstEarly;NumberOfChangeBurstsEarly;TimeFirstBurst;TotalChurnInBurst;ChurnTotal;MaximumChangeBurst;NumberOfConsecutiveChangesEarly;NumberOfConsecutiveChangesLate;TotalBurstSizeEarly;TotalBurstSize;TimeMaxBurst;NumberOfConsecutiveChanges;TimeLastBurst;NumberOfChangeBursts;PeopleTotal;bugs
org.eclipse.ui.views.bookmarkexplorer;2;0;6;2;0;0;0;6;3846;3;2;2;4424;567;3;3;0;5;5;35;3;35;2;3;0
org.eclipse.update.internal.operations;0;0;4;0;0;0;0;4;92;0;1;22;92;14;2;1;0;2;2;22;1;22;1;1;0
org.eclipse.pde.internal.core.schema;0;0;7;0;0;0;0;7;2419;3;2;12;2489;6;3;3;0;5;5;20;3;20;2;1;0
org.eclipse.jdt.internal.compiler.classfmt;0;0;10;0;0;0;0;10;524;3;3;1;1075;0;3;4;0;7;7;12;4;23;3;0;1
org.eclipse.jdt.internal.core.hierarchy;0;0;11;0;0;0;0;11;73;4;3;1;144;0;4;5;0;8;8;8;5;23;3;0;3
org.eclipse.team.internal.ui.wizards;0;0;5;0;0;0;0;5;71;0;1;8;71;0;2;1;0;2;2;8;1;8;1;0;0
org.eclipse.ui.externaltools.internal.program.launchConfigurations;0;0;3;0;0;0;0;3;0;0;0;-1;0;0;0;0;0;0;0;-1;0;-1;0;0;0
org.eclipse.jdi;0;0;2;0;0;0;0;2;0;0;0;-1;0;0;0;0;0;0;0;-1;0;-1;0;0;0
org.eclipse.debug.ui;0;0;9;0;0;0;0;9;301;0;1;4;301;54;5;4;0;5;5;4;4;4;1;2;1
org.eclipse.core.internal.localstore;2;0;8;2;0;0;0;8;1100;0;1;28;1100;18;5;4;0;5;5;28;4;28;1;2;4
org.eclipse.ui.internal.intro.impl.parts;0;0;6;0;3;1;3;3;41;0;1;39;66;0;3;1;2;2;5;44;3;44;2;0;0
org.eclipse.pde.internal.build.builder;0;0;6;0;0;0;0;6;270;0;1;32;270;0;3;2;0;3;3;32;2;32;1;0;0
org.eclipse.osgi.framework.eventmgr;0;0;4;0;2;1;2;2;206;0;1;34;230;0;2;1;1;2;4;34;2;47;2;0;0
org.eclipse.jdt.internal.junit.wizards;0;0;4;0;0;0;0;4;0;0;0;-1;0;0;0;0;0;0;0;-1;0;-1;0;1;2
org.eclipse.core.resources.team;0;0;3;0;0;0;1;2;0;0;0;-1;0;0;0;0;0;0;0;-1;0;-1;0;0;0
org.eclipse.search2.internal.ui.text;0;0;8;0;0;0;1;7;157;0;1;17;157;0;3;2;0;3;3;17;2;17;1;0;2
org.eclipse.pde.internal.core.iproduct;1;0;3;1;0;0;0;3;16;0;1;29;16;46;2;1;0;2;2;29;1;29;1;2;0
org.eclipse.swt.internal.gdip;2;0;3;2;0;0;0;3;41;0;1;33;41;10;3;2;0;3;3;33;2;33;1;2;3
org.eclipse.update.core;0;0;5;0;0;0;0;5;0;0;0;-1;0;24;0;0;0;0;0;-1;0;-1;0;2;0
org.eclipse.ant.internal.ui.antsupport.inputhandler;1;0;5;1;0;0;1;4;22;0;1;19;22;21;2;1;0;2;2;19;1;19;1;1;2
org.eclipse.ui.commands;0;0;9;0;0;0;0;9;516;3;3;2;1197;0;3;4;0;7;7;32;4;38;3;1;0
org.eclipse.debug.internal.core.sourcelookup.containers;1;0;4;1;0;0;0;4;56;0;1;35;56;14;2;1;0;2;2;35;1;35;1;2;0
org.eclipse.ui.externaltools.internal.launchConfigurations;0;0;6;0;0;0;0;6;198;0;1;40;198;0;2;1;0;2;2;40;1;40;1;0;2
org.eclipse.core.internal.plugins;0;0;4;0;0;0;0;4;104;0;1;21;104;0;3;2;0;3;3;21;2;21;1;0;0
org.eclipse.core.internal.indexing;2;0;4;2;0;0;0;4;526;0;1;32;526;215;3;2;0;3;3;32;2;32;1;2;0
org.eclipse.ui.internal.part;3;0;5;3;0;0;0;5;343;0;1;33;343;219;4;3;0;4;4;33;3;33;1;3;0
org.eclipse.compare.internal;0;0;6;0;0;0;1;5;11;0;1;8;11;16;2;1;0;2;2;8;1;8;1;1;2
org.eclipse.compare.structuremergeviewer;0;0;3;0;0;0;0;3;0;0;0;-1;0;16;0;0;0;0;0;-1;0;-1;0;1;0
org.eclipse.team.internal.ccvs.core.client;0;0;8;0;0;0;0;8;327;0;1;8;327;65;3;2;0;3;3;8;2;8;1;1;1
org.eclipse.jdt.core;2;0;8;2;0;0;0;8;1334;3;2;1;2458;81;3;4;0;6;6;1;4;32;2;3;8
org.eclipse.swt.ole.win32;0;0;7;0;0;0;0;7;44;2;2;1;54;32;2;2;0;4;4;1;2;6;2;2;0
org.eclipse.jdt.internal.debug.ui.jres;0;0;6;0;0;0;1;5;235;2;2;1;272;8;2;1;1;4;4;1;2;41;2;1;2
org.eclipse.jface.text.templates.persistence;0;0;6;0;0;0;2;4;0;0;0;-1;0;0;0;0;0;0;0;-1;0;-1;0;0;0
org.eclipse.ant.internal.ui.debug.model;1;0;7;1;0;0;0;7;709;4;2;20;997;216;4;4;0;6;6;20;4;29;2;3;1
org.eclipse.search.internal.ui;1;0;7;1;0;0;1;6;680;0;1;35;680;22;3;2;0;3;3;35;2;35;1;3;3
org.eclipse.jdt.internal.ui.javaeditor.selectionactions;0;0;7;0;0;0;1;6;58;0;1;28;58;0;3;2;0;3;3;28;2;28;1;0;0
org.eclipse.pde.internal.ui.preferences;0;0;9;0;0;0;0;9;386;3;3;7;620;0;3;4;0;7;7;39;4;39;3;0;0
org.eclipse.jdt.internal.formatter;0;0;5;0;0;0;0;5;210;0;1;33;210;0;2;1;0;2;2;33;1;33;1;0;3
org.eclipse.jdt.internal.corext.dom.fragments;1;0;3;1;0;0;1;2;64;0;1;35;64;30;2;1;0;2;2;35;1;35;1;2;0
org.eclipse.compare.contentmergeviewer;0;0;5;0;0;0;0;5;15;0;1;21;15;0;3;2;0;3;3;21;2;21;1;0;0
org.eclipse.ui.internal.preferences;1;0;3;1;0;0;0;3;0;0;1;8;0;32;2;1;0;2;2;8;1;8;1;3;1
org.eclipse.team.internal.ui.preferences;0;0;9;0;0;0;1;8;150;0;1;28;150;0;3;2;0;3;3;28;2;28;1;0;0
org.eclipse.jdt.internal.debug.eval.ast.engine;0;0;6;0;0;0;1;5;515;0;1;9;515;0;3;2;0;3;3;9;2;9;1;0;2
org.eclipse.search.internal.ui.util;1;0;4;1;0;0;0;4;153;0;1;35;153;8;2;1;0;2;2;35;1;35;1;1;1
org.eclipse.pde.internal.ui.parts;0;0;3;0;0;0;0;3;9;0;1;12;9;39;2;1;0;2;2;12;1;12;1;2;0
org.eclipse.team.internal.ccvs.ui.subscriber;1;0;17;1;0;0;1;16;2755;9;2;8;3264;448;9;11;0;13;13;8;11;35;2;2;0
org.eclipse.debug.internal.ui.memory;2;0;5;2;0;0;1;4;81;2;2;29;101;208;2;2;0;4;4;29;2;33;2;2;0
org.eclipse.debug.internal.core;1;0;6;1;0;0;0;6;170;2;2;4;275;50;2;2;0;4;4;4;2;20;2;3;5
org.eclipse.swt.program;0;0;13;0;2;1;3;10;1976;3;3;6;2694;0;3;4;1;7;9;34;5;44;4;0;0
org.osgi.service.prefs;0;0;2;0;0;0;1;1;0;0;0;-1;0;1325;0;0;0;0;0;-1;0;-1;0;1;3
org.eclipse.ui.internal.presentations.defaultpresentation;1;0;6;1;0;0;2;4;8;0;1;8;8;18;2;1;0;2;2;8;1;8;1;2;1
org.eclipse.ui.internal.components.registry;2;0;3;2;0;0;0;3;96;0;1;34;96;38;3;2;0;3;3;34;2;34;1;2;1
org.osgi.service.url;0;0;4;0;0;0;1;3;634;0;1;29;634;0;3;2;0;3;3;29;2;29;1;0;0
org.eclipse.jface.text.link;0;0;9;0;0;0;2;7;285;4;2;12;432;0;4;4;0;6;6;12;4;21;2;0;0
org.eclipse.ui.internal.components.framework;1;0;2;1;0;0;0;2;0;0;1;38;0;0;2;1;0;2;2;38;1;38;1;1;0
org.eclipse.core.runtime.internal.adaptor;1;0;3;1;3;1;3;0;11;0;0;47;11;19;3;0;2;0;3;47;2;47;1;1;4
org.eclipse.jdt.internal.codeassist.select;0;0;5;0;0;0;0;5;238;0;1;0;238;34;2;1;0;2;2;0;1;0;1;3;1
org.eclipse.ui.forms.widgets;1;0;9;1;0;0;3;6;617;0;1;34;617;585;2;1;0;2;2;34;1;34;1;1;0
org.eclipse.team.internal.ui.registry;1;0;4;1;0;0;0;4;13;0;1;8;13;19;2;1;0;2;2;8;1;8;1;1;0
org.eclipse.help;2;0;3;2;0;0;0;3;47;0;1;34;47;13;2;1;0;2;2;34;1;34;1;2;0
org.eclipse.update.internal.search;0;0;2;0;0;0;0;2;0;0;0;-1;0;0;0;0;0;0;0;-1;0;-1;0;0;0
org.eclipse.jdt.internal.eval;0;0;7;0;0;0;0;7;682;2;2;1;703;0;2;2;0;4;4;1;2;39;2;0;17
org.eclipse.jdt.internal.debug.core;0;0;5;0;0;0;1;4;53;0;1;33;53;0;2;1;0;2;2;33;1;33;1;0;0
org.eclipse.pde.internal.ui.model.plugin;0;0;4;0;0;0;1;3;62;0;1;22;62;12;2;1;0;2;2;22;1;22;1;2;0
org.eclipse.jdt.core.search;2;0;7;2;0;0;0;7;893;0;1;35;893;9;3;2;0;3;3;35;2;35;1;2;1
