"filename";"TotalPeopleInBurst";"MaximumCodeBurstLate";"NumberOfChanges";"MaxPeopleInBurst";"TotalBurstSizeLate";"NumberCodeBurstsLate";"NumberOfChangesLate";"NumberOfChangesEarly";"MaxChurnInBurst";"MaximumCodeBurstEarly";"NumberCodeBurstsEarly";"TimeFirstBurst";"TotalChurnInBurst";"ChurnTotal";"MaximumCodeBurst";"NumberOfConsecutiveChangesEarly";"NumberConsecutiveChangesLate";"TotalBurstSizeEarly";"TotalBurstSize";"TimeMaxBurst";"NumberConsecutiveChanges";"TimeLastBurst";"NumberCodeBursts";"PeopleTotal";"bugs"
"1";"org.eclipse.ui.views.bookmarkexplorer";2;0;6;2;0;0;0;6;640;0;1;31;640;567;4;4;0;4;4;31;4;31;1;3;0
"2";"org.eclipse.update.internal.operations";0;0;4;0;0;0;0;4;0;0;0;-1;0;14;0;1;0;0;0;-1;1;-1;0;1;0
"3";"org.eclipse.pde.internal.core.schema";0;0;7;0;0;0;0;7;2491;0;1;7;2491;6;6;5;0;6;6;7;5;7;1;1;0
"4";"org.eclipse.jdt.internal.compiler.classfmt";0;0;10;0;0;0;0;10;701;0;1;12;701;0;7;7;0;7;7;12;7;12;1;0;1
"5";"org.eclipse.jdt.internal.core.hierarchy";0;0;11;0;0;0;0;11;274;0;1;8;274;0;7;8;0;7;7;8;8;8;1;0;3
"6";"org.eclipse.team.internal.ui.wizards";0;0;5;0;0;0;0;5;0;0;0;-1;0;0;0;2;0;0;0;-1;2;-1;0;0;0
"7";"org.eclipse.ui.externaltools.internal.program.launchConfigurations";0;0;3;0;0;0;0;3;131;0;1;32;131;0;3;2;0;3;3;32;2;32;1;0;0
"8";"org.eclipse.jdi";0;0;2;0;0;0;0;2;0;0;0;-1;0;0;0;0;0;0;0;-1;0;-1;0;0;0
"9";"org.eclipse.debug.ui";0;0;9;0;0;0;0;9;327;0;1;1;327;54;6;6;0;6;6;1;6;1;1;2;1
"10";"org.eclipse.core.internal.localstore";2;0;8;2;0;0;0;8;1100;0;1;28;1100;18;5;5;0;5;5;28;5;28;1;2;4
"11";"org.eclipse.ui.internal.intro.impl.parts";0;0;6;0;0;0;3;3;84;0;1;36;84;0;6;2;3;6;6;36;5;36;1;0;0
"12";"org.eclipse.pde.internal.build.builder";0;0;6;0;0;0;0;6;348;0;1;24;348;0;5;4;0;5;5;24;4;24;1;0;0
"13";"org.eclipse.osgi.framework.eventmgr";0;0;4;0;0;0;2;2;0;0;0;-1;0;0;0;1;1;0;0;-1;2;-1;0;0;0
"14";"org.eclipse.jdt.internal.junit.wizards";0;0;4;0;0;0;0;4;0;0;0;-1;0;0;0;0;0;0;0;-1;0;-1;0;1;2
"15";"org.eclipse.core.resources.team";0;0;3;0;0;0;1;2;0;0;0;-1;0;0;0;0;0;0;0;-1;0;-1;0;0;0
"16";"org.eclipse.search2.internal.ui.text";0;0;8;0;0;0;1;7;180;4;2;17;269;0;4;5;0;7;7;17;5;35;2;0;2
"17";"org.eclipse.pde.internal.core.iproduct";2;0;3;2;0;0;0;3;126;0;1;29;126;46;3;2;0;3;3;29;2;29;1;2;0
