filename;TotalPeopleInBurst;MaximumChangeBurstLate;NumberOfChanges;MaxPeopleInBurst;TotalBurstSizeLate;NumberOfChangeBurstsLate;NumberOfChangesLate;NumberOfChangesEarly;MaxChurnInBurst;MaximumChangeBurstEarly;NumberOfChangeBurstsEarly;TimeFirstBurst;TotalChurnInBurst;ChurnTotal;MaximumChangeBurst;NumberOfConsecutiveChangesEarly;NumberOfConsecutiveChangesLate;TotalBurstSizeEarly;TotalBurstSize;TimeMaxBurst;NumberOfConsecutiveChanges;TimeLastBurst;NumberOfChangeBursts;PeopleTotal;bugs
org.eclipse.ui.views.bookmarkexplorer;2;0;6;2;0;0;0;6;3846;4;2;2;4486;567;4;4;0;6;6;31;4;31;2;3;0
org.eclipse.update.internal.operations;0;0;4;0;0;0;0;4;92;0;1;22;92;14;2;1;0;2;2;22;1;22;1;1;0
org.eclipse.pde.internal.core.schema;0;0;7;0;0;0;0;7;2491;0;1;7;2491;6;6;5;0;6;6;7;5;7;1;1;0
org.eclipse.jdt.internal.compiler.classfmt;0;0;10;0;0;0;0;10;701;7;2;1;1225;0;7;7;0;9;9;12;7;12;2;0;1
org.eclipse.jdt.internal.core.hierarchy;0;0;11;0;0;0;0;11;299;7;3;1;600;0;7;8;0;11;11;8;8;35;3;0;3
org.eclipse.team.internal.ui.wizards;0;0;5;0;0;0;0;5;147;2;2;8;218;0;2;2;0;4;4;8;2;35;2;0;0
org.eclipse.ui.externaltools.internal.program.launchConfigurations;0;0;3;0;0;0;0;3;131;0;1;32;131;0;3;2;0;3;3;32;2;32;1;0;0
org.eclipse.jdi;0;0;2;0;0;0;0;2;0;0;0;-1;0;0;0;0;0;0;0;-1;0;-1;0;0;0
org.eclipse.debug.ui;2;0;9;2;0;0;0;9;327;6;2;1;532;54;6;6;0;8;8;1;6;30;2;2;1
org.eclipse.core.internal.localstore;2;0;8;2;0;0;0;8;1100;5;2;7;1121;18;5;5;0;7;7;28;5;28;2;2;4
org.eclipse.ui.internal.intro.impl.parts;0;0;6;0;0;0;3;3;84;0;1;36;84;0;6;2;3;6;6;36;5;36;1;0;0
org.eclipse.pde.internal.build.builder;0;0;6;0;0;0;0;6;348;0;1;24;348;0;5;4;0;5;5;24;4;24;1;0;0
org.eclipse.osgi.framework.eventmgr;0;0;4;0;2;1;2;2;206;0;1;34;230;0;2;1;1;2;4;34;2;47;2;0;0
org.eclipse.jdt.internal.junit.wizards;0;0;4;0;0;0;0;4;0;0;0;-1;0;0;0;0;0;0;0;-1;0;-1;0;1;2
org.eclipse.core.resources.team;0;0;3;0;0;0;1;2;0;0;0;-1;0;0;0;0;0;0;0;-1;0;-1;0;0;0
org.eclipse.search2.internal.ui.text;0;0;8;0;0;0;1;7;180;4;2;17;269;0;4;5;0;7;7;17;5;35;2;0;2
org.eclipse.pde.internal.core.iproduct;2;0;3;2;0;0;0;3;126;0;1;29;126;46;3;2;0;3;3;29;2;29;1;2;0
org.eclipse.swt.internal.gdip;2;0;3;2;0;0;0;3;41;0;1;33;41;10;3;2;0;3;3;33;2;33;1;2;3
