"filename";"TotalPeopleInBurst";"MaximumCodeBurstLate";"NumberOfChanges";"MaxPeopleInBurst";"TotalBurstSizeLate";"NumberCodeBurstsLate";"NumberOfChangesLate";"NumberOfChangesEarly";"MaxChurnInBurst";"MaximumCodeBurstEarly";"NumberCodeBurstsEarly";"TimeFirstBurst";"TotalChurnInBurst";"ChurnTotal";"MaximumCodeBurst";"NumberOfConsecutiveChangesEarly";"NumberConsecutiveChangesLate";"TotalBurstSizeEarly";"TotalBurstSize";"TimeMaxBurst";"NumberConsecutiveChanges";"TimeLastBurst";"NumberCodeBursts";"PeopleTotal";"bugs"
"1";"org.eclipse.ui.views.bookmarkexplorer";2;0;6;2;0;0;0;6;3846;4;2;2;4486;567;4;4;0;6;6;31;4;31;2;3;0
"2";"org.eclipse.update.internal.operations";0;0;4;0;0;0;0;4;105;0;1;15;105;14;3;2;0;3;3;15;2;15;1;1;0
"3";"org.eclipse.pde.internal.core.schema";0;0;7;0;0;0;0;7;2491;0;1;7;2491;6;6;5;0;6;6;7;5;7;1;1;0
"4";"org.eclipse.jdt.internal.compiler.classfmt";0;0;10;0;0;0;0;10;763;8;2;1;1287;0;8;8;0;10;10;12;8;12;2;0;1
"5";"org.eclipse.jdt.internal.core.hierarchy";0;0;11;0;0;0;0;11;301;9;2;1;600;0;9;9;0;11;11;1;9;35;2;0;3
"6";"org.eclipse.team.internal.ui.wizards";0;0;5;0;0;0;0;5;147;2;2;8;218;0;2;2;0;4;4;8;2;35;2;0;0
"7";"org.eclipse.ui.externaltools.internal.program.launchConfigurations";0;0;3;0;0;0;0;3;131;0;1;32;131;0;3;2;0;3;3;32;2;32;1;0;0
"8";"org.eclipse.jdi";0;0;2;0;0;0;0;2;0;0;0;-1;0;0;0;0;0;0;0;-1;0;-1;0;0;0
"9";"org.eclipse.debug.ui";2;0;9;2;0;0;0;9;327;6;2;1;532;54;6;6;0;8;8;1;6;30;2;2;1
"10";"org.eclipse.core.internal.localstore";2;0;8;2;0;0;0;8;1212;0;1;7;1212;18;8;7;0;8;8;7;7;7;1;2;4
"11";"org.eclipse.ui.internal.intro.impl.parts";0;0;6;0;0;0;3;3;84;0;1;36;84;0;6;2;3;6;6;36;5;36;1;0;0
"12";"org.eclipse.pde.internal.build.builder";0;0;6;0;0;0;0;6;348;0;1;24;348;0;5;4;0;5;5;24;4;24;1;0;0
"13";"org.eclipse.osgi.framework.eventmgr";0;0;4;0;2;1;2;2;206;0;1;34;230;0;2;1;1;2;4;34;2;47;2;0;0
"14";"org.eclipse.jdt.internal.junit.wizards";0;0;4;0;0;0;0;4;92;0;1;28;92;0;3;2;0;3;3;28;2;28;1;1;2
"15";"org.eclipse.core.resources.team";0;0;3;0;0;0;1;2;0;0;0;-1;0;0;0;0;0;0;0;-1;0;-1;0;0;0
"16";"org.eclipse.search2.internal.ui.text";0;0;8;0;0;0;1;7;180;4;2;17;269;0;4;5;0;7;7;17;5;35;2;0;2
"17";"org.eclipse.pde.internal.core.iproduct";2;0;3;2;0;0;0;3;126;0;1;29;126;46;3;2;0;3;3;29;2;29;1;2;0
"18";"org.eclipse.swt.internal.gdip";2;0;3;2;0;0;0;3;41;0;1;33;41;10;3;2;0;3;3;33;2;33;1;2;3
"19";"org.eclipse.update.core";2;0;5;1;0;0;0;5;306;3;2;9;377;24;3;3;0;5;5;9;3;30;2;2;0
"20";"org.eclipse.ant.internal.ui.antsupport.inputhandler";1;0;5;1;0;0;1;4;22;3;2;19;44;21;3;2;1;5;5;35;3;35;2;1;2
"21";"org.eclipse.ui.commands";0;0;9;0;0;0;0;9;701;5;2;2;1382;0;5;7;0;9;9;32;7;32;2;1;0
"22";"org.eclipse.debug.internal.core.sourcelookup.containers";2;0;4;2;0;0;0;4;163;0;1;35;163;14;4;3;0;4;4;35;3;35;1;2;0
"23";"org.eclipse.ui.externaltools.internal.launchConfigurations";0;0;6;0;0;0;0;6;240;3;2;18;349;0;3;4;0;6;6;18;4;35;2;0;2
"24";"org.eclipse.core.internal.plugins";0;0;4;0;0;0;0;4;104;0;1;21;104;0;3;2;0;3;3;21;2;21;1;0;0
"25";"org.eclipse.core.internal.indexing";2;0;4;2;0;0;0;4;1285;0;1;32;1285;215;4;3;0;4;4;32;3;32;1;2;0
"26";"org.eclipse.ui.internal.part";3;0;5;3;0;0;0;5;771;0;1;33;771;219;5;4;0;5;5;33;4;33;1;3;0
"27";"org.eclipse.compare.internal";0;0;6;0;0;0;1;5;404;2;2;8;415;16;2;2;0;4;4;8;2;19;2;1;2
"28";"org.eclipse.compare.structuremergeviewer";0;0;3;0;0;0;0;3;0;0;0;-1;0;16;0;0;0;0;0;-1;0;-1;0;1;0
"29";"org.eclipse.team.internal.ccvs.core.client";1;0;8;1;0;0;0;8;772;4;2;8;1099;65;4;5;0;7;7;32;5;32;2;1;1
"30";"org.eclipse.jdt.core";2;0;8;2;0;0;0;8;1334;4;2;1;2540;81;4;5;0;7;7;1;5;32;2;3;8
"31";"org.eclipse.swt.ole.win32";1;0;7;1;0;0;0;7;224;0;1;1;224;32;6;5;0;6;6;1;5;1;1;2;0
"32";"org.eclipse.jdt.internal.debug.ui.jres";1;0;6;1;0;0;1;5;321;4;2;1;358;8;4;3;1;6;6;28;4;28;2;1;2
"33";"org.eclipse.jface.text.templates.persistence";0;0;6;0;0;0;2;4;230;3;2;13;290;0;3;2;2;6;6;13;4;35;2;0;0
"34";"org.eclipse.ant.internal.ui.debug.model";1;0;7;1;0;0;0;7;1211;0;1;20;1211;216;7;6;0;7;7;20;6;20;1;3;1
"35";"org.eclipse.search.internal.ui";2;0;7;2;0;0;1;6;1216;0;1;35;1216;22;4;3;0;4;4;35;3;35;1;3;3
"36";"org.eclipse.jdt.internal.ui.javaeditor.selectionactions";0;0;7;0;0;0;1;6;334;0;1;22;334;0;6;4;1;6;6;22;5;22;1;0;0
"37";"org.eclipse.pde.internal.ui.preferences";0;0;9;0;0;0;0;9;814;5;2;7;1405;0;5;7;0;9;9;7;7;35;2;0;0
"38";"org.eclipse.jdt.internal.formatter";0;0;5;0;0;0;0;5;2151;2;2;1;2361;0;2;2;0;4;4;1;2;33;2;0;3
"39";"org.eclipse.jdt.internal.corext.dom.fragments";1;0;3;1;0;0;1;2;64;0;1;35;64;30;2;1;0;2;2;35;1;35;1;2;0
"40";"org.eclipse.compare.contentmergeviewer";0;0;5;0;0;0;0;5;15;0;1;21;15;0;3;2;0;3;3;21;2;21;1;0;0
"41";"org.eclipse.ui.internal.preferences";1;0;3;1;0;0;0;3;0;0;1;8;0;32;2;1;0;2;2;8;1;8;1;3;1
"42";"org.eclipse.team.internal.ui.preferences";0;0;9;0;0;0;1;8;493;7;2;8;528;0;7;6;1;9;9;24;7;24;2;0;0
"43";"org.eclipse.jdt.internal.debug.eval.ast.engine";0;0;6;0;0;0;1;5;576;0;1;1;576;0;4;3;0;4;4;1;3;1;1;0;2
"44";"org.eclipse.search.internal.ui.util";1;0;4;1;0;0;0;4;263;0;1;26;263;8;4;3;0;4;4;26;3;26;1;1;1
