filename;TotalPeopleInBurst;MaximumChangeBurstLate;NumberOfChanges;MaxPeopleInBurst;TotalBurstSizeLate;NumberOfChangeBurstsLate;NumberOfChangesLate;NumberOfChangesEarly;MaxChurnInBurst;MaximumChangeBurstEarly;NumberOfChangeBurstsEarly;TimeFirstBurst;TotalChurnInBurst;ChurnTotal;MaximumChangeBurst;NumberOfConsecutiveChangesEarly;NumberOfConsecutiveChangesLate;TotalBurstSizeEarly;TotalBurstSize;TimeMaxBurst;NumberOfConsecutiveChanges;TimeLastBurst;NumberOfChangeBursts;PeopleTotal;bugs
org.eclipse.ui.views.bookmarkexplorer;0;0;6;0;0;0;0;6;0;0;0;-1;0;567;0;4;0;0;0;-1;4;-1;0;3;0
org.eclipse.update.internal.operations;0;0;4;0;0;0;0;4;0;0;0;-1;0;14;0;2;0;0;0;-1;2;-1;0;1;0
org.eclipse.pde.internal.core.schema;0;0;7;0;0;0;0;7;0;0;0;-1;0;6;0;5;0;0;0;-1;5;-1;0;1;0
org.eclipse.jdt.internal.compiler.classfmt;0;0;10;0;0;0;0;10;763;0;1;12;763;0;8;8;0;8;8;12;8;12;1;0;1
org.eclipse.jdt.internal.core.hierarchy;0;0;11;0;0;0;0;11;301;0;1;1;301;0;9;9;0;9;9;1;9;1;1;0;3
org.eclipse.team.internal.ui.wizards;0;0;5;0;0;0;0;5;0;0;0;-1;0;0;0;2;0;0;0;-1;2;-1;0;0;0
org.eclipse.ui.externaltools.internal.program.launchConfigurations;0;0;3;0;0;0;0;3;0;0;0;-1;0;0;0;2;0;0;0;-1;2;-1;0;0;0
org.eclipse.jdi;0;0;2;0;0;0;0;2;0;0;0;-1;0;0;0;0;0;0;0;-1;0;-1;0;0;0
org.eclipse.debug.ui;2;0;9;2;0;0;0;9;548;0;1;1;548;54;9;8;0;9;9;1;8;1;1;2;1
org.eclipse.core.internal.localstore;2;0;8;2;0;0;0;8;1212;0;1;7;1212;18;8;7;0;8;8;7;7;7;1;2;4
org.eclipse.ui.internal.intro.impl.parts;0;0;6;0;0;0;3;3;0;0;0;-1;0;0;0;2;3;0;0;-1;5;-1;0;0;0
org.eclipse.pde.internal.build.builder;0;0;6;0;0;0;0;6;0;0;0;-1;0;0;0;4;0;0;0;-1;4;-1;0;0;0
org.eclipse.osgi.framework.eventmgr;0;0;4;0;0;0;2;2;0;0;0;-1;0;0;0;1;1;0;0;-1;2;-1;0;0;0
org.eclipse.jdt.internal.junit.wizards;0;0;4;0;0;0;0;4;0;0;0;-1;0;0;0;2;0;0;0;-1;2;-1;0;1;2
