"filename";"TotalPeopleInBurst";"MaximumCodeBurstLate";"NumberOfChanges";"MaxPeopleInBurst";"TotalBurstSizeLate";"NumberCodeBurstsLate";"NumberOfChangesLate";"NumberOfChangesEarly";"MaxChurnInBurst";"MaximumCodeBurstEarly";"NumberCodeBurstsEarly";"TimeFirstBurst";"TotalChurnInBurst";"ChurnTotal";"MaximumCodeBurst";"NumberOfConsecutiveChangesEarly";"NumberConsecutiveChangesLate";"TotalBurstSizeEarly";"TotalBurstSize";"TimeMaxBurst";"NumberConsecutiveChanges";"TimeLastBurst";"NumberCodeBursts";"PeopleTotal";"bugs"
"40";"org.eclipse.compare.contentmergeviewer";0;0;5;0;0;0;0;5;15;0;1;21;15;0;3;2;0;3;3;21;2;21;1;0;0
"41";"org.eclipse.ui.internal.preferences";1;0;3;1;0;0;0;3;0;0;1;8;0;32;2;1;0;2;2;8;1;8;1;3;1
"42";"org.eclipse.team.internal.ui.preferences";0;0;9;0;0;0;1;8;89;0;1;28;89;0;2;1;0;2;2;28;1;28;1;0;0
"43";"org.eclipse.jdt.internal.debug.eval.ast.engine";0;0;6;0;0;0;1;5;515;0;1;9;515;0;3;2;0;3;3;9;2;9;1;0;2
"44";"org.eclipse.search.internal.ui.util";0;0;4;0;0;0;0;4;0;0;0;-1;0;8;0;0;0;0;0;-1;0;-1;0;1;1
"45";"org.eclipse.pde.internal.ui.parts";0;0;3;0;0;0;0;3;9;0;1;12;9;39;2;1;0;2;2;12;1;12;1;2;0
"46";"org.eclipse.team.internal.ccvs.ui.subscriber";1;0;17;1;0;0;1;16;2257;4;3;8;2755;448;4;6;0;9;9;14;6;14;3;2;0
"47";"org.eclipse.debug.internal.ui.memory";1;0;5;1;0;0;1;4;81;0;1;29;81;208;2;1;0;2;2;29;1;29;1;2;0
"48";"org.eclipse.debug.internal.core";1;0;6;1;0;0;0;6;170;2;2;4;275;50;2;2;0;4;4;4;2;20;2;3;5
"49";"org.eclipse.swt.program";0;0;13;0;2;1;3;10;1976;3;3;6;2694;0;3;4;1;7;9;34;5;44;4;0;0
"50";"org.osgi.service.prefs";0;0;2;0;0;0;1;1;0;0;0;-1;0;1325;0;0;0;0;0;-1;0;-1;0;1;3
"51";"org.eclipse.ui.internal.presentations.defaultpresentation";1;0;6;1;0;0;2;4;8;0;1;8;8;18;2;1;0;2;2;8;1;8;1;2;1
"52";"org.eclipse.ui.internal.components.registry";2;0;3;2;0;0;0;3;96;0;1;34;96;38;3;2;0;3;3;34;2;34;1;2;1
"53";"org.osgi.service.url";0;0;4;0;0;0;1;3;634;0;1;29;634;0;3;2;0;3;3;29;2;29;1;0;0
"54";"org.eclipse.jface.text.link";0;0;9;0;0;0;2;7;250;0;1;12;250;0;3;2;0;3;3;12;2;12;1;0;0
"55";"org.eclipse.ui.internal.components.framework";1;0;2;1;0;0;0;2;0;0;1;38;0;0;2;1;0;2;2;38;1;38;1;1;0
"56";"org.eclipse.core.runtime.internal.adaptor";1;0;3;1;2;1;3;0;0;0;0;47;0;19;2;0;1;0;2;47;1;47;1;1;4
"57";"org.eclipse.jdt.internal.codeassist.select";0;0;5;0;0;0;0;5;238;0;1;0;238;34;2;1;0;2;2;0;1;0;1;3;1
"58";"org.eclipse.ui.forms.widgets";0;0;9;0;0;0;3;6;0;0;0;-1;0;585;0;0;0;0;0;-1;0;-1;0;1;0
"59";"org.eclipse.team.internal.ui.registry";1;0;4;1;0;0;0;4;13;0;1;8;13;19;2;1;0;2;2;8;1;8;1;1;0
"60";"org.eclipse.help";2;0;3;2;0;0;0;3;47;0;1;34;47;13;2;1;0;2;2;34;1;34;1;2;0
"61";"org.eclipse.update.internal.search";0;0;2;0;0;0;0;2;0;0;0;-1;0;0;0;0;0;0;0;-1;0;-1;0;0;0
"62";"org.eclipse.jdt.internal.eval";0;0;7;0;0;0;0;7;682;2;2;1;703;0;2;2;0;4;4;1;2;39;2;0;17
"63";"org.eclipse.jdt.internal.debug.core";0;0;5;0;0;0;1;4;0;0;0;-1;0;0;0;0;0;0;0;-1;0;-1;0;0;0
"64";"org.eclipse.pde.internal.ui.model.plugin";0;0;4;0;0;0;1;3;0;0;0;-1;0;12;0;0;0;0;0;-1;0;-1;0;2;0
"65";"org.eclipse.jdt.core.search";0;0;7;0;0;0;0;7;0;0;0;-1;0;9;0;0;0;0;0;-1;0;-1;0;2;1
"66";"org.eclipse.osgi.service.pluginconversion";0;0;3;0;0;0;1;2;0;0;0;-1;0;0;0;0;0;0;0;-1;0;-1;0;0;0
"67";"org.eclipse.jdt.internal.ui.preferences";3;0;18;2;0;0;2;16;2385;5;4;3;2979;414;5;7;0;11;11;3;7;38;4;5;12
"68";"org.eclipse.jdt.internal.debug.ui.breakpoints";0;0;7;0;0;0;3;4;0;0;0;-1;0;67;0;0;0;0;0;-1;0;-1;0;3;0
"69";"org.eclipse.pde.internal.core.plugin";2;0;11;1;0;0;2;9;1053;4;3;16;1975;51;4;3;2;8;8;41;5;41;3;2;1
"70";"org.eclipse.ui.contentassist";0;0;7;0;2;1;4;3;70;0;1;42;112;0;2;0;2;2;4;42;2;48;2;0;0
"71";"org.eclipse.jdt.internal.core.dom.rewrite";0;0;12;0;0;0;0;12;906;0;1;1;906;772;4;3;0;4;4;1;3;1;1;4;2
"72";"org.eclipse.ui.themes";0;0;3;0;0;0;0;3;173;0;1;2;173;0;2;1;0;2;2;2;1;2;1;0;1
"73";"org.eclipse.jdt.internal.ui.text.folding";0;0;6;0;0;0;2;4;422;2;2;32;684;0;2;1;1;4;4;32;2;42;2;0;0
"74";"org.eclipse.jdt.internal.ui.refactoring.nls.search";0;0;3;0;0;0;1;2;0;0;0;-1;0;0;0;0;0;0;0;-1;0;-1;0;0;1
"75";"org.eclipse.pde.internal.build.tasks";0;0;8;0;0;0;1;7;182;3;3;10;280;0;3;4;0;7;7;32;4;32;3;0;0
"76";"org.eclipse.jdt.internal.corext.refactoring.structure.constraints";0;0;11;0;0;0;2;9;4647;5;2;32;5990;0;5;7;0;9;9;32;7;37;2;0;1
"77";"org.eclipse.ui.internal.texteditor.quickdiff.compare.rangedifferencer";1;0;8;1;0;0;2;6;16;0;1;5;16;372;2;1;0;2;2;5;1;5;1;3;0
"78";"org.eclipse.jdt.internal.ui.refactoring.contentassist";1;0;11;1;0;0;2;9;129;2;3;23;254;0;2;2;1;6;6;23;3;42;3;1;0
"79";"org.eclipse.pde.internal.ui.view";1;0;8;1;0;0;0;8;1270;0;1;21;1270;6;3;2;0;3;3;21;2;21;1;2;0
"80";"org.eclipse.osgi.util";0;0;7;0;2;1;3;4;50;0;1;34;56;0;3;2;1;3;5;34;3;47;2;0;1
"81";"org.eclipse.ui.texteditor.templates";0;0;6;0;0;0;1;5;66;0;1;34;66;0;2;1;0;2;2;34;1;34;1;0;1
"82";"org.eclipse.pde.internal.runtime.registry";0;0;4;0;0;0;0;4;12;0;1;14;12;20;2;1;0;2;2;14;1;14;1;1;18
"83";"org.eclipse.core.runtime.jobs";0;0;8;0;0;0;2;6;43;0;1;23;43;19;2;1;0;2;2;23;1;23;1;1;0
"84";"org.eclipse.ant.internal.ui.editor.formatter";0;0;5;0;0;0;1;4;0;0;0;-1;0;10;0;0;0;0;0;-1;0;-1;0;1;0
"85";"org.eclipse.jdt.internal.ui.wizards.dialogfields";0;0;4;0;0;0;1;3;0;0;0;-1;0;19;0;0;0;0;0;-1;0;-1;0;3;0
"86";"org.eclipse.team.internal.ui.synchronize.actions";1;0;6;1;0;0;0;6;267;0;1;7;267;391;3;2;0;3;3;7;2;7;1;2;0
"87";"org.eclipse.help.internal.search";0;0;7;0;0;0;1;6;9;0;1;6;9;12;2;1;0;2;2;6;1;6;1;2;0
"88";"org.eclipse.ui.internal.browser";2;0;4;2;0;0;1;3;242;0;1;39;242;66;2;1;0;2;2;39;1;39;1;3;0
"89";"org.eclipse.team.internal.ui";0;0;7;0;0;0;0;7;46;0;1;8;46;0;3;2;0;3;3;8;2;8;1;0;3
"90";"org.eclipse.help.browser";0;0;1;0;0;0;0;1;0;0;0;-1;0;0;0;0;0;0;0;-1;0;-1;0;0;0
"91";"org.eclipse.debug.ui.sourcelookup";0;0;4;0;0;0;0;4;0;0;0;-1;0;0;0;0;0;0;0;-1;0;-1;0;0;0
"92";"org.eclipse.ui.internal.commands";0;0;9;0;0;0;0;9;1138;5;2;31;2130;0;5;5;0;7;7;35;5;35;2;0;0
"93";"org.eclipse.team.internal.core";1;0;6;1;0;0;0;6;175;3;2;8;319;22;3;3;0;5;5;8;3;34;2;1;3
"94";"org.eclipse.ui.internal.part.components.services";1;0;2;1;0;0;0;2;0;0;1;38;0;0;2;1;0;2;2;38;1;38;1;1;0
