"filename";"TotalPeopleInBurst";"MaximumCodeBurstLate";"NumberOfChanges";"MaxPeopleInBurst";"TotalBurstSizeLate";"NumberCodeBurstsLate";"NumberOfChangesLate";"NumberOfChangesEarly";"MaxChurnInBurst";"MaximumCodeBurstEarly";"NumberCodeBurstsEarly";"TimeFirstBurst";"TotalChurnInBurst";"ChurnTotal";"MaximumCodeBurst";"NumberOfConsecutiveChangesEarly";"NumberConsecutiveChangesLate";"TotalBurstSizeEarly";"TotalBurstSize";"TimeMaxBurst";"NumberConsecutiveChanges";"TimeLastBurst";"NumberCodeBursts";"PeopleTotal";"bugs"
"39";"org.eclipse.jdt.internal.corext.dom.fragments";0;0;3;0;0;0;1;2;0;0;0;-1;0;30;0;1;0;0;0;-1;1;-1;0;2;0
"40";"org.eclipse.compare.contentmergeviewer";0;0;5;0;0;0;0;5;0;0;0;-1;0;0;0;2;0;0;0;-1;2;-1;0;0;0
"41";"org.eclipse.ui.internal.preferences";0;0;3;0;0;0;0;3;0;0;0;-1;0;32;0;1;0;0;0;-1;1;-1;0;3;1
"42";"org.eclipse.team.internal.ui.preferences";0;0;12;0;0;0;2;10;0;0;0;-1;0;0;0;4;1;0;0;-1;5;-1;0;0;0
"43";"org.eclipse.jdt.internal.debug.eval.ast.engine";0;0;6;0;0;0;1;5;0;0;0;-1;0;0;0;2;0;0;0;-1;2;-1;0;0;2
"44";"org.eclipse.search.internal.ui.util";0;0;4;0;0;0;0;4;0;0;0;-1;0;8;0;0;0;0;0;-1;0;-1;0;1;1
"45";"org.eclipse.pde.internal.ui.parts";0;0;3;0;0;0;0;3;0;0;0;-1;0;39;0;1;0;0;0;-1;1;-1;0;2;0
"46";"org.eclipse.team.internal.ccvs.ui.subscriber";1;0;19;1;0;0;1;18;2648;0;1;35;2648;448;11;10;0;11;11;35;10;35;1;2;0
"47";"org.eclipse.debug.internal.ui.memory";0;0;5;0;0;0;1;4;0;0;0;-1;0;208;0;1;0;0;0;-1;1;-1;0;2;0
"48";"org.eclipse.debug.internal.core";0;0;5;0;0;0;0;5;0;0;0;-1;0;50;0;1;0;0;0;-1;1;-1;0;3;5
"49";"org.eclipse.swt.program";0;0;15;0;0;0;4;11;0;0;0;-1;0;0;0;5;2;0;0;-1;7;-1;0;0;0
"50";"org.osgi.service.prefs";0;0;2;0;0;0;1;1;0;0;0;-1;0;1325;0;0;0;0;0;-1;0;-1;0;1;3
"51";"org.eclipse.ui.internal.presentations.defaultpresentation";0;0;6;0;0;0;2;4;0;0;0;-1;0;18;0;1;0;0;0;-1;1;-1;0;2;1
"52";"org.eclipse.ui.internal.components.registry";0;0;3;0;0;0;0;3;0;0;0;-1;0;38;0;2;0;0;0;-1;2;-1;0;2;1
"53";"org.osgi.service.url";0;0;4;0;0;0;1;3;0;0;0;-1;0;0;0;2;0;0;0;-1;2;-1;0;0;0
"54";"org.eclipse.jface.text.link";0;0;10;0;0;0;2;8;0;0;0;-1;0;0;0;4;0;0;0;-1;4;-1;0;0;0
"55";"org.eclipse.ui.internal.components.framework";0;0;2;0;0;0;0;2;0;0;0;-1;0;0;0;1;0;0;0;-1;1;-1;0;1;0
"56";"org.eclipse.core.runtime.internal.adaptor";0;0;3;0;0;0;3;0;0;0;0;-1;0;19;0;0;1;0;0;-1;1;-1;0;1;4
"57";"org.eclipse.jdt.internal.codeassist.select";0;0;6;0;0;0;0;6;0;0;0;-1;0;34;0;2;0;0;0;-1;2;-1;0;3;1
"58";"org.eclipse.ui.forms.widgets";0;0;10;0;0;0;3;7;0;0;0;-1;0;585;0;2;0;0;0;-1;2;-1;0;1;0
"59";"org.eclipse.team.internal.ui.registry";0;0;4;0;0;0;0;4;0;0;0;-1;0;19;0;1;0;0;0;-1;1;-1;0;1;0
"60";"org.eclipse.help";0;0;3;0;0;0;0;3;0;0;0;-1;0;13;0;1;0;0;0;-1;1;-1;0;2;0
