"filename";"TotalPeopleInBurst";"MaximumCodeBurstLate";"NumberOfChanges";"MaxPeopleInBurst";"TotalBurstSizeLate";"NumberCodeBurstsLate";"NumberOfChangesLate";"NumberOfChangesEarly";"MaxChurnInBurst";"MaximumCodeBurstEarly";"NumberCodeBurstsEarly";"TimeFirstBurst";"TotalChurnInBurst";"ChurnTotal";"MaximumCodeBurst";"NumberOfConsecutiveChangesEarly";"NumberConsecutiveChangesLate";"TotalBurstSizeEarly";"TotalBurstSize";"TimeMaxBurst";"NumberConsecutiveChanges";"TimeLastBurst";"NumberCodeBursts";"PeopleTotal";"bugs"
"1";"org.eclipse.ui.views.bookmarkexplorer";2;0;6;1;0;0;0;6;3846;2;2;8;4233;567;2;2;0;4;4;8;2;184;2;3;0
"2";"org.eclipse.update.internal.operations";0;0;4;0;0;0;0;4;0;0;0;-1;0;14;0;0;0;0;0;-1;0;-1;0;1;0
"3";"org.eclipse.pde.internal.core.schema";0;0;7;0;0;0;0;7;0;0;0;-1;0;6;0;0;0;0;0;-1;0;-1;0;1;0
"4";"org.eclipse.jdt.internal.compiler.classfmt";0;0;14;0;0;0;0;14;524;5;3;4;1123;0;5;6;0;9;9;111;6;131;3;0;1
"5";"org.eclipse.jdt.internal.core.hierarchy";0;0;13;0;0;0;0;13;223;2;3;4;403;0;2;3;0;6;6;4;3;213;3;0;3
"6";"org.eclipse.team.internal.ui.wizards";0;0;5;0;0;0;0;5;66;0;1;34;66;0;2;1;0;2;2;34;1;34;1;0;0
"7";"org.eclipse.ui.externaltools.internal.program.launchConfigurations";0;0;3;0;0;0;0;3;0;0;0;-1;0;0;0;0;0;0;0;-1;0;-1;0;0;0
"8";"org.eclipse.jdi";0;0;2;0;0;0;0;2;0;0;0;-1;0;0;0;0;0;0;0;-1;0;-1;0;0;0
"9";"org.eclipse.debug.ui";0;0;13;0;0;0;0;13;159;3;3;14;285;54;3;4;0;7;7;48;4;48;3;2;1
"10";"org.eclipse.core.internal.localstore";0;0;9;0;0;0;0;9;678;0;1;142;678;18;3;2;0;3;3;142;2;142;1;2;4
"11";"org.eclipse.ui.internal.intro.impl.parts";0;0;7;0;2;1;4;3;32;0;0;232;32;0;2;0;1;0;2;232;1;232;1;0;0
"12";"org.eclipse.pde.internal.build.builder";0;0;7;0;0;0;0;7;121;2;2;159;222;0;2;2;0;4;4;159;2;170;2;0;0
"13";"org.eclipse.osgi.framework.eventmgr";0;0;4;0;0;0;2;2;24;0;1;172;24;0;2;1;0;2;2;172;1;172;1;0;0
"14";"org.eclipse.jdt.internal.junit.wizards";0;0;4;0;0;0;0;4;0;0;0;-1;0;0;0;0;0;0;0;-1;0;-1;0;1;2
"15";"org.eclipse.core.resources.team";0;0;3;0;0;0;1;2;0;0;0;-1;0;0;0;0;0;0;0;-1;0;-1;0;0;0
"16";"org.eclipse.search2.internal.ui.text";0;0;8;0;0;0;1;7;0;0;0;-1;0;0;0;0;0;0;0;-1;0;-1;0;0;2
"17";"org.eclipse.pde.internal.core.iproduct";1;0;3;1;0;0;0;3;0;0;1;138;0;46;2;1;0;2;2;138;1;138;1;2;0
"18";"org.eclipse.swt.internal.gdip";1;0;3;1;0;0;0;3;0;0;1;164;0;10;2;1;0;2;2;164;1;164;1;2;3
"19";"org.eclipse.update.core";0;0;4;0;0;0;0;4;0;0;0;-1;0;24;0;0;0;0;0;-1;0;-1;0;2;0
"20";"org.eclipse.ant.internal.ui.antsupport.inputhandler";1;0;5;1;0;0;1;4;22;0;1;89;22;21;2;1;0;2;2;89;1;89;1;1;2
"21";"org.eclipse.ui.commands";0;0;11;0;0;0;0;11;516;3;2;8;571;0;3;3;0;5;5;195;3;195;2;1;0
"22";"org.eclipse.debug.internal.core.sourcelookup.containers";1;0;4;1;0;0;0;4;56;0;1;175;56;14;2;1;0;2;2;175;1;175;1;2;0
"23";"org.eclipse.ui.externaltools.internal.launchConfigurations";0;0;7;0;0;0;0;7;3;0;1;204;3;0;2;1;0;2;2;204;1;204;1;0;2
"24";"org.eclipse.core.internal.plugins";0;0;4;0;0;0;0;4;104;0;1;101;104;0;3;2;0;3;3;101;2;101;1;0;0
"25";"org.eclipse.core.internal.indexing";1;0;4;1;0;0;0;4;0;0;1;154;0;215;2;1;0;2;2;154;1;154;1;2;0
"26";"org.eclipse.ui.internal.part";1;0;5;1;0;0;0;5;100;0;1;166;100;219;3;2;0;3;3;166;2;166;1;3;0
"27";"org.eclipse.compare.internal";0;0;6;0;0;0;1;5;11;0;1;36;11;16;2;1;0;2;2;36;1;36;1;1;2
"28";"org.eclipse.compare.structuremergeviewer";0;0;3;0;0;0;0;3;0;0;0;-1;0;16;0;0;0;0;0;-1;0;-1;0;1;0
"29";"org.eclipse.team.internal.ccvs.core.client";0;0;8;0;0;0;0;8;217;0;1;35;217;65;2;1;0;2;2;35;1;35;1;1;1
"30";"org.eclipse.jdt.core";0;0;8;0;0;0;0;8;1080;0;1;4;1080;81;2;1;0;2;2;4;1;4;1;3;8
"31";"org.eclipse.swt.ole.win32";0;0;7;0;0;0;0;7;10;0;1;2;10;32;2;1;0;2;2;2;1;2;1;2;0
"32";"org.eclipse.jdt.internal.debug.ui.jres";0;0;7;0;0;0;1;6;222;2;2;2;259;8;2;2;0;4;4;2;2;211;2;1;2
"33";"org.eclipse.jface.text.templates.persistence";0;0;6;0;0;0;2;4;0;0;0;-1;0;0;0;0;0;0;0;-1;0;-1;0;0;0
"34";"org.eclipse.ant.internal.ui.debug.model";1;0;9;1;0;0;0;9;427;0;1;98;427;216;5;4;0;5;5;98;4;98;1;3;1
"35";"org.eclipse.search.internal.ui";0;0;7;0;0;0;1;6;0;0;0;-1;0;22;0;0;0;0;0;-1;0;-1;0;3;3
"36";"org.eclipse.jdt.internal.ui.javaeditor.selectionactions";0;0;7;0;0;0;1;6;32;0;1;146;32;0;2;1;0;2;2;146;1;146;1;0;0
"37";"org.eclipse.pde.internal.ui.preferences";0;0;9;0;0;0;0;9;383;2;2;31;409;0;2;2;0;4;4;31;2;213;2;0;0
"38";"org.eclipse.jdt.internal.formatter";0;0;6;0;0;0;0;6;100;0;1;161;100;0;3;2;0;3;3;161;2;161;1;0;3
"39";"org.eclipse.jdt.internal.corext.dom.fragments";1;0;3;1;0;0;1;2;64;0;1;176;64;30;2;1;0;2;2;176;1;176;1;2;0
"40";"org.eclipse.compare.contentmergeviewer";0;0;5;0;0;0;0;5;13;0;1;108;13;0;2;1;0;2;2;108;1;108;1;0;0
"41";"org.eclipse.ui.internal.preferences";1;0;3;1;0;0;0;3;0;0;1;35;0;32;2;1;0;2;2;35;1;35;1;3;1
"42";"org.eclipse.team.internal.ui.preferences";0;0;12;0;2;1;2;10;245;2;2;117;326;0;2;2;1;4;6;117;3;255;3;0;0
"43";"org.eclipse.jdt.internal.debug.eval.ast.engine";0;0;6;0;0;0;1;5;0;0;0;-1;0;0;0;0;0;0;0;-1;0;-1;0;0;2
"44";"org.eclipse.search.internal.ui.util";0;0;4;0;0;0;0;4;0;0;0;-1;0;8;0;0;0;0;0;-1;0;-1;0;1;1
"45";"org.eclipse.pde.internal.ui.parts";0;0;3;0;0;0;0;3;9;0;1;58;9;39;2;1;0;2;2;58;1;58;1;2;0
"46";"org.eclipse.team.internal.ccvs.ui.subscriber";1;0;19;1;0;0;1;18;1157;2;3;35;1446;448;2;3;0;6;6;35;3;71;3;2;0
"47";"org.eclipse.debug.internal.ui.memory";1;0;5;1;0;0;1;4;0;0;1;137;0;208;2;1;0;2;2;137;1;137;1;2;0
"48";"org.eclipse.debug.internal.core";1;0;5;1;0;0;0;5;91;0;1;97;91;50;2;1;0;2;2;97;1;97;1;3;5
"49";"org.eclipse.swt.program";0;0;15;0;3;1;4;11;1844;3;3;24;2554;0;3;4;2;7;10;47;6;233;4;0;0
"50";"org.osgi.service.prefs";0;0;2;0;0;0;1;1;0;0;0;-1;0;1325;0;0;0;0;0;-1;0;-1;0;1;3
"51";"org.eclipse.ui.internal.presentations.defaultpresentation";1;0;6;1;0;0;2;4;8;0;1;35;8;18;2;1;0;2;2;35;1;35;1;2;1
"52";"org.eclipse.ui.internal.components.registry";1;0;3;1;0;0;0;3;0;0;1;168;0;38;2;1;0;2;2;168;1;168;1;2;1
"53";"org.osgi.service.url";0;0;4;0;0;0;1;3;558;0;1;140;558;0;2;1;0;2;2;140;1;140;1;0;0
"54";"org.eclipse.jface.text.link";0;0;10;0;0;0;2;8;184;0;1;54;184;0;3;2;0;3;3;54;2;54;1;0;0
"55";"org.eclipse.ui.internal.components.framework";1;0;2;1;0;0;0;2;0;0;1;194;0;0;2;1;0;2;2;194;1;194;1;1;0
"56";"org.eclipse.core.runtime.internal.adaptor";1;0;3;1;2;1;3;0;0;0;0;245;0;19;2;0;1;0;2;245;1;245;1;1;4
"57";"org.eclipse.jdt.internal.codeassist.select";1;0;6;1;0;0;0;6;238;2;2;1;399;34;2;2;0;4;4;1;2;105;2;3;1
"58";"org.eclipse.ui.forms.widgets";1;0;10;1;0;0;3;7;61;0;1;94;61;585;2;1;0;2;2;94;1;94;1;1;0
"59";"org.eclipse.team.internal.ui.registry";1;0;4;1;0;0;0;4;13;0;1;34;13;19;2;1;0;2;2;34;1;34;1;1;0
