"filename";"TotalPeopleInBurst";"MaximumCodeBurstLate";"NumberOfChanges";"MaxPeopleInBurst";"TotalBurstSizeLate";"NumberCodeBurstsLate";"NumberOfChangesLate";"NumberOfChangesEarly";"MaxChurnInBurst";"MaximumCodeBurstEarly";"NumberCodeBurstsEarly";"TimeFirstBurst";"TotalChurnInBurst";"ChurnTotal";"MaximumCodeBurst";"NumberOfConsecutiveChangesEarly";"NumberConsecutiveChangesLate";"TotalBurstSizeEarly";"TotalBurstSize";"TimeMaxBurst";"NumberConsecutiveChanges";"TimeLastBurst";"NumberCodeBursts";"PeopleTotal";"X"
"1";"org.eclipse.jface.text.information";0;0;3;0;1;1;1;2;40;0;1;1435;40;0;2;1;0;2;3;1435;1;4838;2;0;NA
"2";"org.eclipse.team.ui";0;2;7;0;3;2;3;4;102;2;3;1978;124;0;2;1;1;4;7;1978;2;4632;5;0;NA
"3";"org.eclipse.pde.internal.ui.launcher";1;3;18;1;12;7;12;6;188;2;5;3579;433;0;3;1;5;6;18;4449;6;4635;12;1;NA
"4";"org.eclipse.ui.views.bookmarkexplorer";4;0;9;1;0;0;0;9;88;2;8;257;200;28;2;1;0;9;9;257;1;3725;8;5;NA
"5";"org.eclipse.debug.internal.ui";3;0;32;1;1;1;1;31;486;3;27;187;1727;31;3;4;0;31;32;2346;4;4567;28;4;NA
"6";"org.eclipse.pde.internal.core.schema";1;0;4;1;1;1;1;3;202;2;2;3591;210;53;2;1;0;3;4;3591;1;4340;3;1;NA
"7";"org.eclipse.swt.internal.photon";2;0;3;1;1;1;1;2;168;0;1;2069;168;66;2;1;0;2;3;2069;1;4701;2;2;NA
"8";"org.eclipse.jdt.internal.compiler.classfmt";2;0;20;1;1;1;1;19;2323;3;13;455;6337;287;3;6;0;19;20;1008;6;4062;14;2;NA
"9";"org.eclipse.jdt.internal.core.hierarchy";0;1;17;0;2;2;2;15;1999;3;11;455;3224;0;3;4;0;15;17;1045;4;4165;13;0;NA
"10";"org.eclipse.jdt.internal.ui.text.link";0;0;2;0;0;0;0;2;0;0;1;1720;0;0;2;1;0;2;2;1720;1;1720;1;0;NA
