filename;TotalPeopleInBurst;MaximumChangeBurstLate;NumberOfChanges;MaxPeopleInBurst;TotalBurstSizeLate;NumberOfChangeBurstsLate;NumberOfChangesLate;NumberOfChangesEarly;MaxChurnInBurst;MaximumChangeBurstEarly;NumberOfChangeBurstsEarly;TimeFirstBurst;TotalChurnInBurst;ChurnTotal;MaximumChangeBurst;NumberOfConsecutiveChangesEarly;NumberOfConsecutiveChangesLate;TotalBurstSizeEarly;TotalBurstSize;TimeMaxBurst;NumberOfConsecutiveChanges;TimeLastBurst;NumberOfChangeBursts;PeopleTotal;
org.eclipse.jface.text.information;0;0;3;0;1;1;1;2;40;0;1;1435;40;0;2;1;0;2;3;1435;1;4838;2;0;
org.eclipse.team.ui;0;2;7;0;3;2;3;4;102;2;3;1978;124;0;2;1;1;4;7;1978;2;4632;5;0;
org.eclipse.pde.internal.ui.launcher;1;3;18;1;12;7;12;6;188;2;5;3579;433;0;3;1;5;6;18;4449;6;4635;12;1;
org.eclipse.ui.views.bookmarkexplorer;4;0;9;1;0;0;0;9;88;2;8;257;200;28;2;1;0;9;9;257;1;3725;8;5;
org.eclipse.debug.internal.ui;3;0;32;1;1;1;1;31;486;5;26;187;1727;31;5;5;0;31;32;2346;5;4567;27;4;
org.eclipse.pde.internal.core.schema;1;0;4;1;1;1;1;3;202;2;2;3591;210;53;2;1;0;3;4;3591;1;4340;3;1;
org.eclipse.swt.internal.photon;2;0;3;1;1;1;1;2;168;0;1;2069;168;66;2;1;0;2;3;2069;1;4701;2;2;
org.eclipse.jdt.internal.compiler.classfmt;2;0;20;1;1;1;1;19;2323;4;12;455;6337;287;4;7;0;19;20;1039;7;4062;13;2;
org.eclipse.jdt.internal.core.hierarchy;0;1;17;0;2;2;2;15;1999;4;10;455;3224;0;4;5;0;15;17;1039;5;4165;12;0;
org.eclipse.jdt.internal.ui.text.link;0;0;2;0;0;0;0;2;0;0;1;1720;0;0;2;1;0;2;2;1720;1;1720;1;0;
org.eclipse.jdt.internal.launching;1;3;21;1;11;9;11;10;884;2;9;2022;1601;24;3;1;2;10;21;4210;3;4451;18;1;
org.eclipse.jdt.core.eval;0;2;6;0;3;2;3;3;584;2;2;455;646;0;2;1;1;3;6;455;2;4836;4;0;
org.eclipse.help.ui.internal.util;1;0;2;1;2;1;2;0;0;0;0;4439;0;0;2;0;1;0;2;4439;1;4439;1;1;
org.eclipse.jdt.internal.junit.util;1;0;2;1;0;0;0;2;0;1;2;3171;0;0;1;0;0;2;2;3171;0;3247;2;1;
org.eclipse.jdi;0;0;7;0;0;0;0;7;25;2;5;187;53;0;2;2;0;7;7;187;2;3667;5;0;
org.eclipse.jface.window;0;1;14;0;5;5;5;9;89;2;8;257;241;0;2;1;0;9;14;257;1;4547;13;0;
org.eclipse.jface.text.reconciler;3;1;6;1;2;2;2;4;94;2;3;257;272;65;2;1;0;4;6;257;1;4838;5;3;
org.eclipse.debug.ui;1;1;18;1;3;3;3;15;253;2;14;187;777;9;2;1;0;15;18;187;1;4653;17;2;
org.eclipse.core.internal.localstore;2;0;15;1;1;1;1;14;5744;3;11;12;6618;99;3;3;0;14;15;327;3;4214;12;2;
org.eclipse.jface.text.formatter;3;0;5;1;0;0;0;5;505;2;4;257;941;6;2;1;0;5;5;257;1;1066;4;3;
org.eclipse.search.ui;2;0;4;1;0;0;0;4;75;2;3;15;137;10;2;1;0;4;4;15;1;1434;3;2;
org.eclipse.jdt.internal.ui.browsing;3;5;81;1;32;19;32;49;246;4;30;2878;2504;86;5;19;13;49;81;4014;32;4626;49;3;
org.eclipse.jdt.internal.junit.wizards;0;0;2;0;0;0;0;2;0;0;1;3527;0;0;2;1;0;2;2;3527;1;3527;1;0;
org.eclipse.core.resources.team;0;0;5;0;0;0;0;5;863;3;3;3195;932;0;3;2;0;5;5;3243;2;3360;3;0;
org.eclipse.pde.internal.ui.editor.manifest;1;0;2;1;0;0;0;2;0;0;1;3579;0;46;2;1;0;2;2;3579;1;3579;1;1;
org.eclipse.team.internal.ccvs.ui;1;2;55;1;20;17;20;35;780;3;25;1978;6039;347;3;10;3;35;55;2737;13;4707;42;3;
org.eclipse.update.core;2;0;27;1;0;0;0;27;2690;3;21;1423;5602;342;3;6;0;27;27;1423;6;3697;21;2;
org.eclipse.debug.internal.ui.views.launch;0;2;15;0;15;13;15;0;2110;0;0;3975;2412;0;2;0;2;0;15;3975;2;4709;13;0;
org.eclipse.update.internal.security;0;1;16;0;3;3;3;13;288;2;12;3122;1091;0;2;1;0;13;16;3122;1;4626;15;0;
org.eclipse.core.internal.indexing;3;0;8;1;1;1;1;7;11444;2;6;12;19128;1914;2;1;0;7;8;12;1;4214;7;4;
org.eclipse.core.internal.plugins;3;2;16;1;8;7;8;8;13146;2;7;12;15671;106;2;1;1;8;16;12;2;4552;14;3;
org.eclipse.compare.internal;1;0;4;1;0;0;0;4;333;2;3;14;559;25;2;1;0;4;4;14;1;761;3;2;
org.eclipse.swt.ole.win32;2;0;4;1;1;1;1;3;215;2;2;106;299;27;2;1;0;3;4;106;1;4701;3;3;
org.eclipse.team.internal.ccvs.core.client;2;1;20;2;2;2;2;18;2639;2;15;2572;5154;198;2;3;0;18;20;2572;3;4111;17;2;
org.eclipse.jdt.core;2;2;17;1;6;4;6;11;9913;4;7;455;13834;53;4;4;2;11;17;3872;6;4058;11;2;
org.eclipse.compare.structuremergeviewer;0;0;3;0;0;0;0;3;73;2;2;14;73;0;2;1;0;3;3;14;1;329;2;0;
org.eclipse.swt.graphics;2;1;6;1;2;2;2;4;3589;2;3;106;6155;145;2;1;0;4;6;106;1;4701;5;6;
org.eclipse.search.internal.ui;2;1;13;1;4;4;4;9;274;2;7;15;1291;42;2;2;0;9;13;15;2;4161;11;2;
org.eclipse.pde.internal.ui.preferences;0;1;9;0;2;2;2;7;99;3;5;3579;157;0;3;2;0;7;9;3579;2;4435;7;0;
org.eclipse.compare.contentmergeviewer;1;0;3;1;0;0;0;3;126;2;2;14;126;5;2;1;0;3;3;14;1;329;2;1;
org.eclipse.jdt.internal.debug.eval.ast.engine;1;0;5;1;0;0;0;5;525;1;5;3329;597;0;1;0;0;5;5;3329;0;3645;5;1;
org.eclipse.search.internal.ui.util;2;0;6;1;0;0;0;6;107;2;5;15;191;31;2;1;0;6;6;15;1;1400;5;2;
org.eclipse.pde.internal.ui.parts;1;0;2;1;0;0;0;2;0;0;1;3579;0;0;2;1;0;2;2;3579;1;3579;1;1;
org.eclipse.pde.internal.core.feature;0;0;3;0;1;1;1;2;445;0;1;3591;445;0;2;1;0;2;3;3591;1;3994;2;1;
org.eclipse.debug.internal.core;0;0;16;0;0;0;0;16;425;2;13;187;1415;0;2;3;0;16;16;187;3;2390;13;0;
org.eclipse.swt.program;0;1;21;0;3;3;3;18;1710;2;17;106;1968;0;2;1;0;18;21;106;1;4701;20;0;
org.eclipse.help.internal.util;1;0;3;1;0;0;0;3;14;2;2;1420;14;59;2;1;0;3;3;1420;1;3609;2;2;
org.eclipse.swt.printing;0;1;6;0;2;2;2;4;531;2;3;106;736;0;2;1;0;4;6;106;1;4701;5;0;
org.eclipse.ui.actions;4;0;11;1;1;1;1;10;762;2;9;257;1317;335;2;1;0;10;11;257;1;4146;10;6;
org.eclipse.jdt.internal.corext.refactoring.tagging;1;0;2;1;0;0;0;2;0;0;1;1939;0;0;2;1;0;2;2;1939;1;1939;1;1;
org.eclipse.update.internal.ui.search;0;0;2;0;0;0;0;2;0;0;1;3537;0;37;2;1;0;2;2;3537;1;3537;1;1;
org.eclipse.debug.core.model;2;0;9;1;0;0;0;9;272;2;8;187;776;136;2;1;0;9;9;187;1;3474;8;3;
org.eclipse.jdt.internal.codeassist.select;1;0;11;1;1;1;1;10;1590;4;6;455;2640;22;4;4;0;10;11;1039;4;4062;7;2;
org.eclipse.jdi.internal.event;2;0;5;1;0;0;0;5;299;2;4;187;573;64;2;1;0;5;5;187;1;3670;4;2;
org.eclipse.help;0;0;9;0;1;1;1;8;53;2;7;1420;158;0;2;1;0;8;9;1420;1;3938;8;0;
org.eclipse.jdt.core.dom;2;2;8;1;3;2;3;5;865;2;4;2669;3212;236;2;1;1;5;8;2669;2;4452;6;3;
org.eclipse.jdt.internal.eval;0;0;8;0;1;1;1;7;15153;2;6;455;15987;0;2;1;0;7;8;455;1;4062;7;0;
org.eclipse.pde.internal.ui.editor.text;0;0;3;0;1;1;1;2;76;0;1;3579;76;0;2;1;0;2;3;3579;1;4588;2;1;
org.eclipse.jdt.internal.core.builder;3;2;17;2;8;6;8;9;580;2;7;2979;1485;21;2;2;2;9;17;2979;4;4666;13;3;
org.eclipse.jdt.internal.debug.core;0;0;18;0;0;0;0;18;196;2;15;187;642;0;2;3;0;18;18;187;3;3108;15;0;
org.eclipse.update.internal.ui.wizards;1;2;42;1;9;7;9;33;314;2;30;1570;1464;50;2;3;2;33;42;1570;5;4715;37;1;
org.eclipse.jdt.core.search;0;2;8;0;4;3;4;4;287;2;3;455;406;0;2;1;1;4;8;455;2;4606;6;0;
org.eclipse.ui.dialogs;4;0;7;1;0;0;0;7;879;2;5;257;974;223;2;2;0;7;7;257;2;3733;5;8;
com.sun.jdi.connect;2;0;3;1;0;0;0;3;100;2;2;2704;100;59;2;1;0;3;3;2704;1;3033;2;2;
org.eclipse.jdt.internal.ui.preferences;3;4;59;1;22;14;22;37;659;4;31;15;3390;559;4;6;8;37;59;128;14;4706;45;5;
org.eclipse.team.core.sync;0;0;7;0;1;1;1;6;134;3;2;2019;248;0;3;4;0;6;7;2019;4;4707;3;0;
org.eclipse.pde.internal.core.plugin;1;0;5;1;1;1;1;4;60;2;3;3591;62;0;2;1;0;4;5;3591;1;4555;4;1;
org.eclipse.swt;0;2;17;0;6;4;6;11;407;2;8;106;1081;0;2;3;2;11;17;106;5;4701;12;0;
com.sun.jdi.event;2;0;3;1;0;0;0;3;159;2;2;2704;159;28;2;1;0;3;3;2704;1;3040;2;2;
org.eclipse.pde.core.plugin;1;0;4;1;2;1;2;2;986;0;1;3591;986;169;2;1;1;2;4;3591;2;4751;2;1;
org.eclipse.jdt.internal.ui.javaeditor.structureselection;0;1;9;0;2;2;2;7;25;3;4;3188;115;0;3;3;0;7;9;3188;3;4630;6;0;
org.eclipse.jdt.internal.ui.refactoring.nls.search;0;0;3;0;0;0;0;3;31;2;2;1922;31;0;2;1;0;3;3;1922;1;3530;2;0;
org.eclipse.jdt.internal.corext.refactoring;0;0;4;0;0;0;0;4;20;2;3;1939;31;0;2;1;0;4;4;1939;1;3825;3;0;
org.eclipse.pde.internal.build.tasks;0;0;7;0;1;1;1;6;30;2;4;3509;50;0;2;2;0;6;7;3509;2;4273;5;0;
