"filename";"TotalPeopleInBurst";"MaximumCodeBurstLate";"NumberOfChanges";"MaxPeopleInBurst";"TotalBurstSizeLate";"NumberCodeBurstsLate";"NumberOfChangesLate";"NumberOfChangesEarly";"MaxChurnInBurst";"MaximumCodeBurstEarly";"NumberCodeBurstsEarly";"TimeFirstBurst";"TotalChurnInBurst";"ChurnTotal";"MaximumCodeBurst";"NumberOfConsecutiveChangesEarly";"NumberConsecutiveChangesLate";"TotalBurstSizeEarly";"TotalBurstSize";"TimeMaxBurst";"NumberConsecutiveChanges";"TimeLastBurst";"NumberCodeBursts";"PeopleTotal";"X"
"39";"org.eclipse.jdt.internal.corext.dom.fragments";2;0;3;1;1;1;1;2;64;0;1;3184;80;30;2;1;0;2;3;3184;1;5012;2;2;NA
"40";"org.eclipse.compare.contentmergeviewer";0;0;5;0;0;0;0;5;30;1;5;641;57;0;1;0;0;5;5;641;0;3170;5;0;NA
"41";"org.eclipse.ui.internal.preferences";2;0;3;1;0;0;0;3;122;2;2;526;122;32;2;1;0;3;3;526;1;3189;2;3;NA
"42";"org.eclipse.team.internal.ui.preferences";0;1;12;0;2;2;2;10;245;1;10;523;528;0;1;0;0;10;12;523;0;4777;12;0;NA
"43";"org.eclipse.jdt.internal.debug.eval.ast.engine";0;0;6;0;1;1;1;5;257;1;5;42;451;0;1;0;0;5;6;42;0;4759;6;0;NA
"44";"org.eclipse.search.internal.ui.util";1;0;4;1;0;0;0;4;81;1;4;2287;263;8;1;0;0;4;4;2287;0;3335;4;1;NA
"45";"org.eclipse.pde.internal.ui.parts";1;0;3;1;0;0;0;3;108;2;2;942;117;39;2;1;0;3;3;942;1;3149;2;2;NA
"46";"org.eclipse.team.internal.ccvs.ui.subscriber";1;0;20;1;1;1;1;19;1144;2;18;534;3050;448;2;1;0;19;20;1420;1;4559;19;2;NA
"47";"org.eclipse.debug.internal.ui.memory";2;0;5;1;1;1;1;4;16;2;3;2448;20;208;2;1;0;4;5;2448;1;4376;4;2;NA
"48";"org.eclipse.debug.internal.core";2;0;5;1;0;0;0;5;168;1;5;215;283;50;1;0;0;5;5;215;0;3156;5;3;NA
"49";"org.eclipse.swt.program";0;1;17;0;4;4;4;13;1770;3;10;358;3193;0;3;3;0;13;17;807;3;5079;14;0;NA
"50";"org.osgi.service.prefs";1;0;2;1;1;1;1;1;1410;0;1;1674;1421;1325;1;0;0;1;2;1674;0;4480;2;1;NA
"51";"org.eclipse.ui.internal.presentations.defaultpresentation";2;1;6;1;2;2;2;4;164;2;3;526;290;18;2;1;0;4;6;526;1;4975;5;2;NA
"52";"org.eclipse.ui.internal.components.registry";2;0;3;1;0;0;0;3;96;2;2;3029;96;38;2;1;0;3;3;3029;1;3189;2;2;NA
"53";"org.osgi.service.url";0;0;4;0;1;1;1;3;558;2;2;2506;721;0;2;1;0;3;4;2506;1;4480;3;0;NA
"54";"org.eclipse.jface.text.link";0;0;10;0;1;1;1;9;556;2;8;883;943;0;2;1;0;9;10;883;1;5012;9;0;NA
"55";"org.eclipse.ui.internal.components.framework";1;0;2;1;0;0;0;2;0;0;1;3505;0;0;2;1;0;2;2;3505;1;3505;1;1;NA
"56";"org.eclipse.core.runtime.internal.adaptor";1;2;3;1;3;2;3;0;11;0;0;4504;11;19;2;0;1;0;3;4504;1;4824;2;1;NA
