"filename";"TotalPeopleInBurst";"MaximumCodeBurstLate";"NumberOfChanges";"MaxPeopleInBurst";"TotalBurstSizeLate";"NumberCodeBurstsLate";"NumberOfChangesLate";"NumberOfChangesEarly";"MaxChurnInBurst";"MaximumCodeBurstEarly";"NumberCodeBurstsEarly";"TimeFirstBurst";"TotalChurnInBurst";"ChurnTotal";"MaximumCodeBurst";"NumberOfConsecutiveChangesEarly";"NumberConsecutiveChangesLate";"TotalBurstSizeEarly";"TotalBurstSize";"TimeMaxBurst";"NumberConsecutiveChanges";"TimeLastBurst";"NumberCodeBursts";"PeopleTotal";"X"
"1";"org.eclipse.ui.views.bookmarkexplorer";0;1;7;0;5;5;5;2;284;0;1;826;497;0;2;1;0;2;7;826;1;3232;6;0;NA
"2";"org.eclipse.pde.internal.core.schema";1;0;10;1;1;1;1;9;1908;3;7;115;2321;76;3;2;0;9;10;115;2;3146;8;2;NA
"3";"org.eclipse.jdt.internal.compiler.classfmt";0;0;7;0;1;1;1;6;3054;2;5;9;3127;0;2;1;0;6;7;9;1;3151;6;0;NA
"4";"org.eclipse.jdt.internal.core.hierarchy";2;1;13;1;2;2;2;11;4590;2;10;9;5119;54;2;1;0;11;13;9;1;3151;12;2;NA
"5";"org.eclipse.jdt.internal.ui.text.link";3;0;4;1;1;1;1;3;58;2;2;36;114;34;2;1;0;3;4;36;1;3147;3;3;NA
"6";"org.eclipse.ui.externaltools.internal.program.launchConfigurations";1;1;11;1;2;2;2;9;227;5;5;1402;375;16;5;4;0;9;11;1402;4;3145;7;2;NA
"7";"org.eclipse.jdi";0;0;3;0;1;1;1;2;94;0;1;299;126;0;2;1;0;2;3;299;1;3146;2;0;NA
"8";"org.eclipse.debug.ui";2;1;8;1;3;3;3;5;6122;1;5;13;6436;14;1;0;0;5;8;13;0;3401;8;2;NA
"9";"org.eclipse.core.internal.localstore";0;0;14;0;1;1;1;13;496;2;12;186;998;0;2;1;0;13;14;186;1;3145;13;0;NA
"10";"org.eclipse.ui.externaltools.internal.variable";2;0;3;1;1;1;1;2;290;0;1;2434;292;40;2;1;0;2;3;2434;1;3145;2;3;NA
"11";"org.eclipse.ui.externaltools.internal.ant.dtd";2;0;4;1;1;1;1;3;668;2;2;2326;796;344;2;1;0;3;4;2326;1;3153;3;3;NA
"12";"org.eclipse.jdt.internal.junit.wizards";0;0;6;0;1;1;1;5;145;2;4;318;197;0;2;1;0;5;6;318;1;3145;5;0;NA
"13";"org.eclipse.core.resources.team";0;0;2;0;1;1;1;1;28;0;1;186;29;0;1;0;0;1;2;186;0;3145;2;0;NA
"14";"org.eclipse.update.core";2;0;7;1;1;1;1;6;1485;2;5;338;5151;265;2;1;0;6;7;338;1;3145;6;2;NA
"15";"org.eclipse.ui.externaltools.internal.launchConfigurations";0;1;16;0;6;6;6;10;78;2;8;2434;328;0;2;2;0;10;16;2434;2;3145;14;0;NA
"16";"org.eclipse.core.internal.plugins";0;0;5;0;1;1;1;4;306;2;3;186;500;0;2;1;0;4;5;186;1;3145;4;0;NA
"17";"org.eclipse.core.internal.indexing";1;0;3;1;1;1;1;2;610;0;1;186;619;16;2;1;0;2;3;186;1;3145;2;1;NA
