"filename";"TotalPeopleInBurst";"MaximumCodeBurstLate";"NumberOfChanges";"MaxPeopleInBurst";"TotalBurstSizeLate";"NumberCodeBurstsLate";"NumberOfChangesLate";"NumberOfChangesEarly";"MaxChurnInBurst";"MaximumCodeBurstEarly";"NumberCodeBurstsEarly";"TimeFirstBurst";"TotalChurnInBurst";"ChurnTotal";"MaximumCodeBurst";"NumberOfConsecutiveChangesEarly";"NumberConsecutiveChangesLate";"TotalBurstSizeEarly";"TotalBurstSize";"TimeMaxBurst";"NumberConsecutiveChanges";"TimeLastBurst";"NumberCodeBursts";"PeopleTotal";"X"
"1";"org.eclipse.ui.views.bookmarkexplorer";0;0;2;0;0;0;0;2;0;0;0;-1;0;4;0;1;0;0;0;-1;1;-1;0;1;NA
"2";"org.eclipse.update.internal.operations";0;0;11;0;0;0;2;9;0;0;0;-1;0;77;0;1;0;0;0;-1;1;-1;0;2;NA
"3";"org.eclipse.pde.internal.core.schema";0;0;5;0;0;0;2;3;0;0;0;-1;0;63;0;0;0;0;0;-1;0;-1;0;3;NA
"4";"org.eclipse.jdt.internal.compiler.classfmt";0;0;8;0;0;0;0;8;0;0;0;-1;0;39;0;0;0;0;0;-1;0;-1;0;4;NA
"5";"org.eclipse.jdt.internal.core.hierarchy";0;0;28;0;0;0;3;25;0;0;0;-1;0;2;0;5;0;0;0;-1;5;-1;0;1;NA
"6";"org.eclipse.team.internal.ui.wizards";0;0;12;0;0;0;6;6;0;0;0;-1;0;72;0;2;0;0;0;-1;2;-1;0;1;NA
"7";"org.eclipse.ui.externaltools.internal.program.launchConfigurations";0;0;13;0;0;0;0;13;0;0;0;-1;0;89;0;2;0;0;0;-1;2;-1;0;3;NA
"8";"org.eclipse.jdi";0;0;5;0;0;0;2;3;0;0;0;-1;0;0;0;1;0;0;0;-1;1;-1;0;0;NA
"9";"org.eclipse.debug.ui";0;0;12;0;0;0;2;10;0;0;0;-1;0;0;0;1;0;0;0;-1;1;-1;0;0;NA
"10";"org.eclipse.core.internal.localstore";0;0;4;0;0;0;1;3;0;0;0;-1;0;347;0;1;0;0;0;-1;1;-1;0;2;NA
"11";"org.eclipse.ui.internal.intro.impl.parts";0;0;7;0;0;0;7;0;0;0;0;-1;0;10;0;0;1;0;0;-1;1;-1;0;1;NA
"12";"org.eclipse.pde.internal.build.builder";0;0;18;0;0;0;1;17;0;0;0;-1;0;21;0;2;0;0;0;-1;2;-1;0;2;NA
"13";"org.eclipse.osgi.framework.eventmgr";0;0;5;0;0;0;1;4;0;0;0;-1;0;390;0;1;0;0;0;-1;1;-1;0;4;NA
"14";"org.eclipse.jdt.internal.junit.wizards";0;0;9;0;0;0;3;6;0;0;0;-1;0;2;0;1;0;0;0;-1;1;-1;0;2;NA
"15";"org.eclipse.core.resources.team";0;0;4;0;0;0;1;3;0;0;0;-1;0;84;0;1;0;0;0;-1;1;-1;0;1;NA
"16";"org.eclipse.search2.internal.ui.text";0;0;16;0;0;0;9;7;0;0;0;-1;0;4;0;0;3;0;0;-1;3;-1;0;1;NA
"17";"org.eclipse.update.core";0;0;5;0;0;0;2;3;0;0;0;-1;0;578;0;1;0;0;0;-1;1;-1;0;2;NA
"18";"org.eclipse.ui.externaltools.internal.launchConfigurations";0;0;35;0;0;0;3;32;0;0;0;-1;0;0;0;5;0;0;0;-1;5;-1;0;0;NA
"19";"org.eclipse.ui.commands";1;0;17;1;0;0;2;15;1070;0;1;4952;1070;373;5;5;0;5;5;4952;5;4952;1;3;NA
"20";"org.eclipse.debug.internal.core.sourcelookup.containers";0;0;7;0;0;0;1;6;0;0;0;-1;0;52;0;4;0;0;0;-1;4;-1;0;2;NA
