filename;TotalPeopleInBurst;MaximumChangeBurstLate;NumberOfChanges;MaxPeopleInBurst;TotalBurstSizeLate;NumberOfChangeBurstsLate;NumberOfChangesLate;NumberOfChangesEarly;MaxChurnInBurst;MaximumChangeBurstEarly;NumberOfChangeBurstsEarly;TimeFirstBurst;TotalChurnInBurst;ChurnTotal;MaximumChangeBurst;NumberOfConsecutiveChangesEarly;NumberOfConsecutiveChangesLate;TotalBurstSizeEarly;TotalBurstSize;TimeMaxBurst;NumberOfConsecutiveChanges;TimeLastBurst;NumberOfChangeBursts;PeopleTotal;
org.eclipse.ui.views.bookmarkexplorer;1;0;6;1;0;0;0;6;3846;0;1;123;3846;567;2;1;0;2;2;123;1;123;1;3;
org.eclipse.update.internal.operations;0;0;4;0;0;0;0;4;0;0;0;-1;0;14;0;0;0;0;0;-1;0;-1;0;1;
org.eclipse.pde.internal.core.schema;0;0;7;0;0;0;0;7;0;0;0;-1;0;6;0;0;0;0;0;-1;0;-1;0;1;
org.eclipse.jdt.internal.compiler.classfmt;0;0;17;0;0;0;0;17;524;4;2;60;551;0;4;4;0;6;6;2103;4;2103;2;0;
org.eclipse.jdt.internal.core.hierarchy;0;0;13;0;0;0;0;13;27;0;1;60;27;0;2;1;0;2;2;60;1;60;1;0;
org.eclipse.team.internal.ui.wizards;0;0;5;0;0;0;0;5;66;0;1;518;66;0;2;1;0;2;2;518;1;518;1;0;
org.eclipse.ui.externaltools.internal.program.launchConfigurations;0;0;3;0;0;0;0;3;0;0;0;-1;0;0;0;0;0;0;0;-1;0;-1;0;0;
org.eclipse.jdi;0;0;3;0;0;0;0;3;27;0;1;3163;27;0;2;1;0;2;2;3163;1;3163;1;0;
org.eclipse.debug.ui;0;0;14;0;0;0;0;14;0;0;0;-1;0;54;0;0;0;0;0;-1;0;-1;0;2;
org.eclipse.core.internal.localstore;0;0;10;0;0;0;0;10;154;0;1;2556;154;18;2;1;0;2;2;2556;1;2556;1;2;
org.eclipse.ui.internal.intro.impl.parts;0;0;7;0;0;0;4;3;0;0;0;-1;0;0;0;0;0;0;0;-1;0;-1;0;0;
org.eclipse.pde.internal.build.builder;0;0;7;0;0;0;0;7;0;0;0;-1;0;0;0;0;0;0;0;-1;0;-1;0;0;
org.eclipse.osgi.framework.eventmgr;0;0;4;0;0;0;2;2;24;0;1;3111;24;0;2;1;0;2;2;3111;1;3111;1;0;
org.eclipse.jdt.internal.junit.wizards;0;0;4;0;0;0;0;4;0;0;0;-1;0;0;0;0;0;0;0;-1;0;-1;0;1;
org.eclipse.core.resources.team;0;0;3;0;0;0;1;2;0;0;0;-1;0;0;0;0;0;0;0;-1;0;-1;0;0;
org.eclipse.search2.internal.ui.text;0;0;8;0;0;0;1;7;0;0;0;-1;0;0;0;0;0;0;0;-1;0;-1;0;0;
org.eclipse.pde.internal.core.iproduct;1;0;3;1;0;0;0;3;0;0;1;2467;0;46;2;1;0;2;2;2467;1;2467;1;2;
org.eclipse.swt.internal.gdip;1;0;3;1;0;0;0;3;0;0;1;2961;0;10;2;1;0;2;2;2961;1;2961;1;2;
org.eclipse.update.core;0;0;4;0;0;0;0;4;0;0;0;-1;0;24;0;0;0;0;0;-1;0;-1;0;2;
org.eclipse.ant.internal.ui.antsupport.inputhandler;1;0;6;1;0;0;1;5;13;0;1;1573;13;21;2;1;0;2;2;1573;1;1573;1;1;
org.eclipse.ui.commands;0;0;11;0;0;0;0;11;516;0;1;123;516;0;2;1;0;2;2;123;1;123;1;1;
org.eclipse.debug.internal.core.sourcelookup.containers;1;0;4;1;0;0;0;4;56;0;1;3156;56;14;2;1;0;2;2;3156;1;3156;1;2;
org.eclipse.ui.externaltools.internal.launchConfigurations;0;0;7;0;0;0;0;7;3;0;1;3705;3;0;2;1;0;2;2;3705;1;3705;1;0;
org.eclipse.core.internal.plugins;0;0;4;0;0;0;0;4;51;0;1;1775;51;0;2;1;0;2;2;1775;1;1775;1;0;
org.eclipse.core.internal.indexing;1;0;4;1;0;0;0;4;0;0;1;2794;0;215;2;1;0;2;2;2794;1;2794;1;2;
org.eclipse.ui.internal.part;1;0;5;1;0;0;0;5;0;0;1;3001;0;219;2;1;0;2;2;3001;1;3001;1;3;
org.eclipse.compare.internal;0;0;6;0;0;0;1;5;11;0;1;558;11;16;2;1;0;2;2;558;1;558;1;1;
org.eclipse.compare.structuremergeviewer;0;0;3;0;0;0;0;3;0;0;0;-1;0;16;0;0;0;0;0;-1;0;-1;0;1;
org.eclipse.team.internal.ccvs.core.client;0;0;9;0;0;0;0;9;217;0;1;534;217;65;3;2;0;3;3;534;2;534;1;1;
org.eclipse.jdt.core;0;0;8;0;0;0;0;8;1080;0;1;60;1080;81;2;1;0;2;2;60;1;60;1;3;
org.eclipse.swt.ole.win32;0;0;7;0;0;0;0;7;10;0;1;44;10;32;2;1;0;2;2;44;1;44;1;2;
org.eclipse.jdt.internal.debug.ui.jres;0;0;7;0;0;0;0;7;34;0;1;40;34;8;2;1;0;2;2;40;1;40;1;1;
org.eclipse.jface.text.templates.persistence;0;0;6;0;0;0;1;5;0;0;0;-1;0;0;0;0;0;0;0;-1;0;-1;0;0;
org.eclipse.ant.internal.ui.debug.model;1;0;10;1;0;0;0;10;278;2;2;1711;278;216;2;2;0;4;4;1711;2;2000;2;3;
org.eclipse.search.internal.ui;0;0;7;0;0;0;1;6;0;0;0;-1;0;22;0;0;0;0;0;-1;0;-1;0;3;
org.eclipse.jdt.internal.ui.javaeditor.selectionactions;0;0;8;0;0;0;0;8;189;0;1;4028;189;0;2;1;0;2;2;4028;1;4028;1;0;
org.eclipse.pde.internal.ui.preferences;0;0;9;0;0;0;0;9;26;0;1;463;26;0;2;1;0;2;2;463;1;463;1;0;
org.eclipse.jdt.internal.formatter;0;0;7;0;0;0;0;7;43;0;1;2932;43;0;2;1;0;2;2;2932;1;2932;1;0;
org.eclipse.jdt.internal.corext.dom.fragments;1;0;3;1;0;0;1;2;64;0;1;3184;64;30;2;1;0;2;2;3184;1;3184;1;2;
org.eclipse.compare.contentmergeviewer;0;0;5;0;0;0;0;5;0;0;0;-1;0;0;0;0;0;0;0;-1;0;-1;0;0;
org.eclipse.ui.internal.preferences;1;0;3;1;0;0;0;3;0;0;1;526;0;32;2;1;0;2;2;526;1;526;1;3;
org.eclipse.team.internal.ui.preferences;0;0;12;0;0;0;2;10;0;0;0;-1;0;0;0;0;0;0;0;-1;0;-1;0;0;
org.eclipse.jdt.internal.debug.eval.ast.engine;0;0;6;0;0;0;1;5;0;0;0;-1;0;0;0;0;0;0;0;-1;0;-1;0;0;
org.eclipse.search.internal.ui.util;0;0;4;0;0;0;0;4;0;0;0;-1;0;8;0;0;0;0;0;-1;0;-1;0;1;
org.eclipse.pde.internal.ui.parts;0;0;3;0;0;0;0;3;9;0;1;942;9;39;2;1;0;2;2;942;1;942;1;2;
org.eclipse.team.internal.ccvs.ui.subscriber;0;0;20;0;0;0;1;19;35;0;1;1420;35;448;2;1;0;2;2;1420;1;1420;1;2;
org.eclipse.debug.internal.ui.memory;1;0;5;1;0;0;1;4;0;0;1;2448;0;208;2;1;0;2;2;2448;1;2448;1;2;
org.eclipse.debug.internal.core;0;0;5;0;0;0;0;5;0;0;0;-1;0;50;0;0;0;0;0;-1;0;-1;0;3;
org.eclipse.swt.program;0;0;17;0;0;0;4;13;1770;0;1;807;1770;0;3;2;0;3;3;807;2;807;1;0;
org.osgi.service.prefs;0;0;2;0;0;0;1;1;0;0;0;-1;0;1325;0;0;0;0;0;-1;0;-1;0;1;
org.eclipse.ui.internal.presentations.defaultpresentation;1;0;6;1;0;0;2;4;0;0;1;526;0;18;2;1;0;2;2;526;1;526;1;2;
org.eclipse.ui.internal.components.registry;1;0;3;1;0;0;0;3;0;0;1;3029;0;38;2;1;0;2;2;3029;1;3029;1;2;
org.osgi.service.url;0;0;4;0;0;0;1;3;558;0;1;2506;558;0;2;1;0;2;2;2506;1;2506;1;0;
org.eclipse.jface.text.link;0;0;10;0;0;0;1;9;151;0;1;883;151;0;2;1;0;2;2;883;1;883;1;0;
org.eclipse.ui.internal.components.framework;1;0;2;1;0;0;0;2;0;0;1;3505;0;0;2;1;0;2;2;3505;1;3505;1;1;
org.eclipse.core.runtime.internal.adaptor;1;0;3;1;2;1;3;0;0;0;0;4504;0;19;2;0;1;0;2;4504;1;4504;1;1;
org.eclipse.jdt.internal.codeassist.select;0;0;6;0;0;0;0;6;0;0;0;-1;0;34;0;0;0;0;0;-1;0;-1;0;3;
org.eclipse.ui.forms.widgets;1;0;12;1;0;0;3;9;45;2;2;492;53;585;2;2;0;4;4;492;2;1643;2;1;
org.eclipse.team.internal.ui.registry;1;0;4;1;0;0;0;4;13;0;1;523;13;19;2;1;0;2;2;523;1;523;1;1;
