filename;TotalPeopleInBurst;MaximumChangeBurstLate;NumberOfChanges;MaxPeopleInBurst;TotalBurstSizeLate;NumberOfChangeBurstsLate;NumberOfChangesLate;NumberOfChangesEarly;MaxChurnInBurst;MaximumChangeBurstEarly;NumberOfChangeBurstsEarly;TimeFirstBurst;TotalChurnInBurst;ChurnTotal;MaximumChangeBurst;NumberOfConsecutiveChangesEarly;NumberOfConsecutiveChangesLate;TotalBurstSizeEarly;TotalBurstSize;TimeMaxBurst;NumberOfConsecutiveChanges;TimeLastBurst;NumberOfChangeBursts;PeopleTotal;
org.eclipse.debug.internal.core;2;1;22;1;7;7;7;15;194;2;12;243;867;45;2;3;0;15;22;1657;3;6336;19;4;
org.osgi.service.prefs;0;0;2;0;2;1;2;0;0;0;0;5484;0;0;2;0;1;0;2;5484;1;5484;1;0;
org.osgi.service.url;0;0;3;0;1;1;1;2;9;0;1;3013;9;0;2;1;0;2;3;3013;1;5536;2;0;
org.eclipse.jface.text.link;0;1;7;0;4;4;4;3;226;2;2;4214;311;0;2;1;0;3;7;4214;1;6340;6;0;
org.eclipse.jdt.internal.codeassist.select;0;0;8;0;0;0;0;8;366;2;7;69;486;0;2;1;0;8;8;991;1;3560;7;0;
org.eclipse.ui.forms.widgets;1;0;12;1;1;1;1;11;1454;2;10;4068;2763;134;2;1;0;11;12;4068;1;6044;11;2;
org.eclipse.team.internal.ui.registry;0;1;6;0;2;2;2;4;324;2;3;2493;375;0;2;1;0;4;6;2493;1;6337;5;0;
org.eclipse.help;1;1;11;1;3;3;3;8;456;1;8;663;662;146;1;0;0;8;11;663;0;6337;11;1;
org.eclipse.update.internal.search;2;1;10;1;2;2;2;8;30;2;6;825;99;23;2;2;0;8;10;825;2;6336;8;3;
org.eclipse.jdt.internal.eval;1;0;8;1;1;1;1;7;1664;2;6;13;2332;2;2;1;0;7;8;1855;1;5916;7;1;
org.eclipse.jdt.internal.debug.core;0;0;8;0;1;1;1;7;32;1;7;363;94;0;1;0;0;7;8;363;0;6336;8;0;
org.eclipse.pde.internal.ui.model.plugin;2;2;11;1;6;5;6;5;535;2;4;4438;1238;14;2;1;1;5;11;4438;2;6336;9;2;
org.eclipse.osgi.service.pluginconversion;0;2;3;0;3;2;3;0;7;0;0;5277;7;0;2;0;1;0;3;5321;1;5321;2;0;
org.eclipse.jdt.core.search;1;1;10;1;2;2;2;8;105;2;7;61;211;88;2;1;0;8;10;75;1;5676;9;3;
org.eclipse.jdt.internal.ui.preferences;1;2;60;1;16;13;16;44;465;3;40;170;3007;305;3;4;3;44;60;3955;7;6340;53;2;
org.eclipse.jdt.internal.debug.ui.breakpoints;0;0;2;0;0;0;0;2;1;0;1;3093;1;0;2;1;0;2;2;3093;1;3093;1;0;
org.eclipse.pde.internal.core.plugin;3;1;21;1;5;5;5;16;347;1;16;368;1587;310;1;0;0;16;21;368;0;6336;21;3;
org.eclipse.ui.contentassist;0;5;8;0;8;4;8;0;36;0;0;5177;58;0;5;0;4;0;8;5177;4;6334;4;0;
org.eclipse.jdt.internal.core.dom.rewrite;2;1;6;1;2;2;2;4;1457;2;3;4802;1567;393;2;1;0;4;6;4802;1;5510;5;3;
org.eclipse.ui.themes;0;0;2;0;1;1;1;1;169;0;1;4423;169;0;1;0;0;1;2;4423;0;5247;2;0;
org.eclipse.jdt.internal.ui.text.folding;1;2;3;1;3;2;3;0;26;0;0;5440;26;6;2;0;1;0;3;5440;1;6340;2;1;
org.eclipse.jdt.internal.ui.refactoring.nls.search;2;1;9;1;5;5;5;4;63;2;3;1309;168;91;2;1;0;4;9;1309;1;6340;8;5;
org.eclipse.pde.internal.build.tasks;2;0;9;1;1;1;1;8;816;2;7;447;4226;163;2;1;0;8;9;447;1;6340;8;2;
org.eclipse.ui.internal.texteditor.quickdiff.compare.rangedifferencer;1;1;5;1;2;2;2;3;152;2;2;1644;207;38;2;1;0;3;5;1644;1;6340;4;3;
